features,slope,target,target_slope,score
DV_PHO_avg DDF0,0.12798528300495302,0.12319015252370319,,
DV_PHO_avg DF0,0.17857497272904807,0.17188443554526747,,
DV_PHO_avg Jitter,0.13884097510556254,0.1336391223913774,,
DV_PHO_avg Shimmer,0.09405948149692692,0.0905354240726137,,
DV_PHO_avg apq,0.19074987483081873,0.18360318954310187,,
DV_PHO_avg logE,0.06799640855794487,0.06544883712132066,,
DV_PHO_avg ppq,0.11734804318009621,0.11295145034101113,,
DV_PHO_kurtosis DDF0,0.1985979453905865,0.19115722221447673,,
DV_PHO_kurtosis DF0,0.11167611316029617,0.10749202635227095,,
DV_PHO_kurtosis Shimmer,0.3761981542132702,0.36210341461584344,,
DV_PHO_kurtosis apq,0.01835068689230531,0.01766315520113573,,
DV_PHO_kurtosis logE,0.2564934239502096,0.24688357345375755,,
DV_PHO_kurtosis ppq,0.2520615638557102,0.2426177586023426,,
DV_PHO_skewness DDF0,0.22709102919012178,0.21858277659637812,,
DV_PHO_skewness DF0,0.06705443027615673,0.06454215124710944,,
DV_PHO_skewness Jitter,0.1624111813496973,0.15632624105108867,,
DV_PHO_skewness Shimmer,0.3839455582370105,0.3695605523502686,,
DV_PHO_skewness apq,0.03285466986813443,0.0316237281126669,,
DV_PHO_skewness logE,0.0191734384264611,0.01845508130859206,,
DV_PHO_skewness ppq,0.1536765776357309,0.14791889031126984,,
DV_PHO_std DF0,0.0034975715217595636,0.00336653058157797,,
DV_PHO_std Jitter,0.051561109191221983,0.04962930702987242,,
DV_PHO_std Shimmer,0.17439996021899998,0.16786584515873593,,
DV_PHO_std logE,0.226512479955796,0.2180259034407649,,
DV_PHO_std ppq,0.028826591832449084,0.027746567114599618,,
PP_CPP_M,0.10654635779835833,0.1025544637621882,,
PP_CPP_SD_M,0.1273293250920205,0.12255877090352006,,
PP_F0,0.12146879327614107,0.11691781132350133,,
PP_F0_M,0.11045745394941196,0.10631902574987007,,
PP_F0_SD,0.24145234091882667,0.2324060236194846,,
PP_F0_SD_M,0.03805397945757377,0.036628238993157966,,
PP_F1_MEA,0.0,0.0,,
PP_F1_MED,0.023464479859791755,0.022585353448061857,,
PP_F1_SD,0.10103027246204592,0.09724504553878362,,
PP_F2_MEA,0.05118142531066285,0.049263848486056735,,
PP_F3_MEA,0.010822996092444482,0.010417498856802506,,
PP_F3_MED,0.004927478709343516,0.004742864488082202,,
PP_F3_SD,0.07691105102058461,0.07402948123041234,,
PP_F4_MEA,0.28121978411600307,0.2706835292663508,,
PP_F4_SD,0.05149339906272305,0.04956413374696571,,
PP_F5_MEA,0.1720568886845748,0.16561055976245634,,
PP_F5_MED,0.1558103966629176,0.1499727631101205,,
PP_F5_SD,0.10086995536787269,0.09709073492728441,,
PP_JIT_M_abs,0.02625452315798241,0.025270864245725597,,
PP_JIT_M_local,0.06720578137752378,0.0646878317880613,,
PP_JIT_M_ppq5,0.1392918873140217,0.13407314060371142,,
PP_JIT_M_rap,0.05747275055824704,0.05531946127706893,,
PP_JIT_local,0.24754372866908808,0.2382691898243574,,
PP_SHI_M_apq11,0.14833849370722388,0.14278080444782193,,
PP_SHI_M_apq3,0.0873250875997132,0.08405334275924613,,
PP_SHI_M_apq5,0.0817716329362025,0.07870795529774503,,
PP_SHI_M_local,0.03198623879193043,0.030787833904973215,,
PP_SHI_apq11,0.22031401395742942,0.21205967080976598,,
PP_SHI_apq3,0.14444117245264235,0.13902950126269537,,
PP_SHI_apq5,0.16646432756545806,0.16022753101816314,,
PP_SHI_local,0.2156852460785673,0.20760432557314384,,
