features,slope,target,target_slope,score
PP_F3_SD,0.11867485723664802,0.475157106224839,1.0,0.44252424800353934
DV_PRO_F0tiltku,0.28962367250213,0.3509412906533407,0.9189093290854614,0.4213328558893996
DV_PRO_skwmseEunvoiced,0.28022346953841987,0.6972575908457499,0.6126040572282032,0.4141403087875824
PP_F4_SD,0.14787479530131198,0.42414178613585324,0.9198112237637643,0.411553772723355
PP_MFC_6_kurt,0.19684650228078318,0.5324813614164986,0.7961037231547388,0.4113207577567029
PP_MFC_8_max,0.22492125105206648,0.40344314519524255,0.8414681554850928,0.39828548315475176
PP_F2_SD,0.15386197026764875,0.34474917499487023,0.8877166751518117,0.3832746903477908
DV_PRO_std1Eunvoiced,0.2828608156186628,0.42963500084105416,0.726306455601789,0.3818728500145328
DV_PRO_skwdurunvoiced,0.24018753788388442,0.4404929011974708,0.7437747737576688,0.38129316500344523
DV_PRO_min1Eunvoiced,0.2422925407496485,0.3742157044787518,0.7925792569674694,0.37978621135985846
DV_PRO_minlastEunvoiced,0.25426462141972367,0.3902579398502454,0.7531837767427657,0.3743725422693358
DV_PHO_skewness ppq,0.3301184550417059,0.2285872657147982,0.8159597228006841,0.36795842427724595
DV_PRO_avgEunvoiced,0.24957216001321272,0.31239766258584606,0.7983825431967353,0.36752861060812464
DV_PRO_F0tiltmax,0.28967511279153824,0.3479400128114479,0.7382576792762617,0.36639732954404813
DV_PRO_avg1Eunvoiced,0.2595243079807405,0.22901673086836838,0.8559258372735109,0.36593679549529345
DV_PRO_F0tiltskw,0.32855520354913764,0.3002165510562496,0.7382289122226475,0.36223385214068415
DV_PRO_kurtosislastEvoiced,0.2537636454794083,0.28528133297178515,0.799467531402096,0.3619133217594568
PP_MFC_7_max,0.07623166618628031,0.42865868545109653,0.7975145920078089,0.3616653822023729
DV_PRO_avgmseEvoiced,0.13085186754469832,0.23816268528805648,0.9136727713934568,0.35981287624899083
DV_PRO_lastF0max,0.04914578225055819,0.34190973541238384,0.876655226564586,0.3583031582725834
DV_PRO_kurtosisdurunvoiced,0.31020357962202305,0.13830559320654348,0.86183257682273,0.35516688727285944
DV_PRO_kurtosismseEunvoiced,0.32005749083881796,0.2365945357840152,0.7722369778393378,0.35483122546556867
DV_PRO_stdmseEvoiced,0.11483937843804809,0.17509707927183263,0.9522643066934997,0.3524214375136177
PP_MFC_7_sd,0.11092330355090398,0.3022362771849357,0.8449159261432322,0.35121850784938435
DV_PRO_kurtosisEunvoiced,0.3570063890656115,0.20846537572491108,0.7588613633757658,0.3511760307570798
PP_MFC_4_sd,0.14652197558501534,0.21947069927014998,0.8738930646943841,0.3463399893428558
DV_PRO_maxlastEunvoiced,0.2415363887575287,0.22721288030051537,0.7863243348340694,0.3410077982768554
DV_PRO_std1Evoiced,0.31170546175204683,0.23396003462529139,0.7337476409245016,0.3409553932840827
DV_PRO_kurtosislastEunvoiced,0.4227576848175429,0.15676597584936694,0.7208622445503936,0.34000170429096843
DV_PRO_kurtosistiltEunvoiced,0.3087002156493709,0.11993439694332719,0.825332345478541,0.3393233460092683
PP_JIT_M_abs,0.1125412290473314,0.3259101317526714,0.782237513375941,0.3386570327604164
DV_PRO_F0kurt,0.291306460692525,0.2299732426257848,0.7418228651557947,0.33830146234168956
PP_MFC_8_kurt,0.12109136991119045,0.35908524260933417,0.7410407817540006,0.3363018191607718
PP_MFC_6_max,0.2361902033526501,0.5099739797650944,0.5374807442739943,0.3359757588940019
PP_MFC_1_max,0.21245523150503037,0.15703305434680329,0.8419139509342487,0.3343234951679815
DV_PRO_skw1Evoiced,0.43449160394992603,0.23397307161594405,0.6284982200227615,0.33394105470079966
DV_PHO_kurtosis ppq,0.2590019807563828,0.23460528229920524,0.7433222281786755,0.33344838517968056
DV_PRO_F0tiltstd,0.2752170803749062,0.28192881776568646,0.6898239579892075,0.33247280791316514
PP_MFC_2_sd,0.057971244233555784,0.3045443738635147,0.8153158757651586,0.3323251050421374
DV_PHO_avg DF0,0.29243950691482046,0.3477715692895389,0.6190221325909954,0.3311374334826474
DV_PRO_lastF0avg,0.054935026011562964,0.24534918088460977,0.8591762531436967,0.3300771763665741
DV_PRO_stdmseEunvoiced,0.34763328767841817,0.38476585492508936,0.5434076512194561,0.3287404166327928
DV_PHO_kurtosis Shimmer,0.24333942425576877,0.17788157475057464,0.7829013055629919,0.328008670207695
DV_PHO_skewness Shimmer,0.24679180739067705,0.10917545480866529,0.8355353984239803,0.32731284470749583
DV_PHO_skewness DF0,0.3813511675034832,0.44538455997828424,0.4587896245308783,0.3252532608545312
DV_PRO_kurtosis1Eunvoiced,0.3018399935740517,0.16751152631423008,0.7401001827433513,0.32427593511637326
DV_PRO_mindurvoiced,0.16796199749072396,0.03455163870861307,0.9353980620973861,0.3228497278045139
DV_PRO_maxdurunvoiced,0.28176945311930374,0.6746765121802528,0.313697763019782,0.3191323475748586
PP_MFC_6_min,0.15601000474219992,0.41528492969021963,0.6044634023515296,0.3163622540764538
PP_MFC_1_kurt,0.17481059640977367,0.15098876138078912,0.8066706329975945,0.3147104995264304
PP_MFC_4_max,0.10845539299779358,0.4610612104946228,0.5885779829646661,0.31352977611261423
PP_MFC_10_kurt,0.28701712666749996,0.19669684769870283,0.6889540600975846,0.3132638552874511
PP_F3_MEA,0.2218519920054757,0.45540700524827715,0.5085566891635881,0.3107891564622408
DV_PRO_1F0skw,0.39157458550952673,0.06335087506268673,0.7086939780328796,0.3067608292774409
DV_PRO_F0mseavg,0.07728085144504875,0.265246608212911,0.7493853536224724,0.30658342842897923
DV_PRO_avgmseEunvoiced,0.3071429909781864,0.38993359514644577,0.49075285795853923,0.3061378543698105
DV_PRO_stddurpause,0.19146408369697082,0.39445368666764674,0.5633460167992473,0.30591004344608
DV_PRO_mindurunvoiced,0.36541286913044907,0.4199190501847617,0.4213184822513309,0.3044578810476795
DV_PRO_F0msestd,0.1639127713942825,0.25427256104587315,0.6928763682636089,0.3042136050194074
DV_PRO_kurtosistiltEvoiced,0.21314458718664472,0.3237032634293364,0.5998466186304744,0.3035087188838054
PP_MFC_10_sd,0.06409263002697552,0.36573593850588376,0.6567051768678259,0.3012640636922138
DV_PRO_F0max,0.07666854738719225,0.3000358037757901,0.7025391679554764,0.3011044108080289
PP_MFC_2_median,0.2543095898338722,0.1397807414666463,0.7122385760550831,0.29947867614996093
DV_PRO_stdlastEunvoiced,0.3760273043825025,0.3950343232216353,0.41515471415149197,0.2985104559273569
PP_MFC_5_max,0.20211449353187666,0.1527642086177387,0.7313042573916445,0.2980052280783034
DV_PRO_skw1Eunvoiced,0.2351134848988643,0.47712891009994585,0.43771126266177257,0.2976183033032911
PP_MFC_2_kurt,0.09409048725556514,0.03185602138076424,0.90275039438805,0.2976072211127191
PP_MFC_5_kurt,0.14916937140286793,0.17673538002331393,0.7426909173947932,0.29682499450484
DV_PRO_F0msemax,0.19131613304174447,0.29331205280611583,0.6167305331888433,0.29661039976653086
DV_PRO_F0tiltmin,0.2224804458111544,0.34785805522332397,0.5498069953936583,0.29640270158615933
