features,slope,target,target_slope,score
PP_MFC_4_median,0.25957089698832375,0.3712031115473097,0.9343022930949888,0.42500564521298884
PP_MFC_4_min,0.2492165548307362,0.4781117005023239,0.8481774417333915,0.42382446861174566
PP_MFC_4_mean,0.3114234458746118,0.38187500449767353,0.8859601069962392,0.4235414723982125
DV_PHO_skewness logE,0.3511410609416595,0.1423038302967104,1.0,0.4058041697625095
PP_MFC_12_kurt,0.2796909494025476,0.33215115588804955,0.8408824878924006,0.3912407252202421
PP_MFC_11_skew,0.2027167407926681,0.3414675295968437,0.8265307897408459,0.3738694674799983
DV_PHO_kurtosis Shimmer,0.16886167489407153,0.1819992197655837,0.9481635744775937,0.3637212122634883
PP_MFC_6_mean,0.09781841475774633,0.28480541986689195,0.9021568715801762,0.3614120993923251
DV_PHO_skewness Shimmer,0.21136186896269202,0.12979504924162585,0.9059686241493964,0.3465117233477638
PP_DUR_WP,0.22486240334086163,0.13680973997005064,0.8756891937785853,0.3418816737942606
PP_SHI_apq3,0.16466866923040818,0.2833160102853805,0.7904970825588973,0.3409118611850959
PP_MFC_12_max,0.19224630304786391,0.10052725730229571,0.9145967943073371,0.3379601132273478
PP_F5_MED,0.23545910254844474,0.2724115770884168,0.7080837871055177,0.3276198509134484
PP_MFC_2_kurt,0.2812362814931577,0.161286241327491,0.7596272478241589,0.32445699097775194
PP_MFC_4_skew,0.23417855728477885,0.28456338572628753,0.6864245501890891,0.3239039229452544
DV_PHO_avg DDF0,0.2635878365009631,0.26542921289432053,0.6799720946479451,0.32306649891815625
PP_F1_SD,0.10718935159977762,0.296432237461263,0.7580501558369623,0.32296097643636
PP_MFC_6_max,0.27073174980164394,0.1985071088781418,0.7212585870088956,0.3201507032825329
PP_MFC_7_kurt,0.2622247169587647,0.11632145782875161,0.7873528963439069,0.31773117675211293
PP_DUR_WOP,0.1609345639013216,0.09547741225760528,0.8476788068993247,0.31035990791446305
PP_MFC_6_min,0.12339517886502269,0.09805631831224482,0.8661240823954698,0.30903034006970664
PP_F3_MED,0.14859189268530482,0.3561969846466599,0.628214387312155,0.30723194089237243
PP_F5_MEA,0.2226221711179069,0.17521673755151387,0.7233357636352171,0.305329347702025
PP_F1_MED,0.052919198061455126,0.06105024363105933,0.9311796535032424,0.3052002965710286
PP_MFC_3_mean,0.05035539957205793,0.334556278750946,0.6824173998179488,0.29843536954753275
PP_F1_MEA,0.04419104936464842,0.006448317833147377,0.9593288506501264,0.29824894452625444
PP_MFC_4_sd,0.2268597276910953,0.40655483999524367,0.49585944834372064,0.29576849004014616
PP_MFC_9_kurt,0.1331643293741555,0.09080650367981837,0.8211042479523458,0.29566576618048945
PP_MFC_1_kurt,0.15230165106344543,0.22749591775809483,0.6878349420604738,0.29368479227035493
PP_MFC_2_sd,0.19718989954826963,0.23938973519284326,0.6468276931597482,0.2933337216557892
PP_MFC_1_sd,0.1271016821679035,0.40966930598489815,0.5508360221784262,0.2930884695833331
PP_F5_SD,0.10911915040173764,0.358267850237898,0.6022794844064119,0.2920746379617456
PP_MFC_10_kurt,0.2415047060518599,0.5778046805403266,0.3245528379202663,0.2901179627215335
