features,slope,target,target_slope,score
DV_PHO_avg Jitter,0.4642697429917479,0.6185843413406488,0.7717921392755789,0.47903767571618544
DV_PHO_avg ppq,0.43507459786354646,0.6755369158958303,0.6780202640906132,0.4593052277738508
PP_JIT_local,0.15836660851494205,0.598290026525178,0.8957642996868879,0.4499751182403493
PP_JIT_abs,0.09053234025146914,0.4396436539294402,0.981762571975574,0.42254615312532606
PP_GF2_SD,0.42243534284331746,0.41048053240816934,0.7365890878373151,0.40808392802190036
PP_JIT_ppq5,0.21378795035334971,0.4390438745309395,0.8241674214952317,0.39976878515197434
PP_SHI_M_apq11,0.15112722994361902,0.46195089160089203,0.8311629990259177,0.3950620685967221
PP_F2_SD,0.42829750047542575,0.32345915225592353,0.7381216240569695,0.3879607753761569
PP_JIT_M_ppq5,0.14391908271558665,0.5324909028260463,0.713100291951527,0.37583662983508703
DV_PHO_skewness ppq,0.2787823288055865,0.2929282717561607,0.7734068007070551,0.361010573912274
DV_PHO_std Jitter,0.3064398153819505,0.4820540934602649,0.5587473354320209,0.3494256870710626
DV_PHO_std DF0,0.29485098112436037,0.5085966007427914,0.5339517062394026,0.34630485828239066
PP_JIT_M_local,0.11050950866382944,0.509831441464608,0.6520148284500317,0.3451642106339274
DV_PHO_kurtosis ppq,0.17644288774660546,0.2803210118271088,0.7837925186229164,0.34050658609297324
DV_PHO_kurtosis DDF0,0.27963497280784255,0.14254965772472517,0.8216882726138418,0.33807089077690233
PP_GF3_SD,0.21891237506537126,0.31545037354573907,0.7166182753292553,0.3376305509982856
DV_PHO_kurtosis Shimmer,0.17693628897030472,0.12999215169186779,0.8829338185645172,0.3327654412863831
PP_JIT_M_abs,0.06440739750309181,0.4341213902080445,0.7003689421238681,0.3315225096897899
DV_PHO_skewness DF0,0.36778012597246407,0.07854028782075766,0.7009080218524435,0.3034635037054153
DV_PHO_skewness Jitter,0.3165608911350041,0.08510890862510234,0.7041353902380104,0.29583002245467954
PP_GF4_SD,0.28374246662218955,0.41778313229788244,0.44400436891992084,0.2943955870748848
PP_SHI_apq11,0.07148760110340618,0.22103052244596516,0.7344451089872257,0.28988868352834024
DV_PHO_skewness Shimmer,0.13966118716254414,0.07946429136229821,0.805603064714592,0.289479229687461
DV_PHO_kurtosis Jitter,0.3028116778343454,0.07786039349265712,0.6915088314003855,0.287480083360149
PP_CPP_SD_M,0.10284947693141937,0.5348211035397924,0.4164734822185796,0.2792172159368058
DV_PHO_avg DF0,0.3901741012347795,0.18586958810673623,0.5072936902879037,0.27669032436001106
DV_PHO_avg apq,0.33585610519472175,0.288856252912032,0.45624510430295684,0.2762588155578394
PP_GF1_SD,0.37053079211047474,0.3176931306745789,0.4026109797149788,0.27431273500523334
DV_PHO_std logE,0.2387060205750181,0.38994115783988065,0.4228495906435118,0.2720813707680273
PP_F3_SD,0.1571392028468571,0.2601324160540705,0.5834728275706104,0.27150279285407214
PP_GF4_MEA,0.10673963228115796,0.3302441704316011,0.5421314871731345,0.2665484152160722
