features,slope,target,target_slope,score
PP_JIT_M_abs,0.04357385960299402,0.13984384996706115,1.0,0.3436757344123641
DV_PHO_avg Jitter,0.1149433062020712,0.0723139008312776,0.9010704266446473,0.3113882644416278
DV_PHO_kurtosis Shimmer,0.15436436422358746,0.16003896802707693,0.7579734598566086,0.2982746528084693
PP_F4_SD,0.11814719131480263,0.04991493114566493,0.8688236243268949,0.2967552583474452
DV_PHO_avg ppq,0.09795531180717536,0.07924439222942023,0.8410091534672478,0.29170490645896446
PP_F0_SD_M,0.1091093289288437,0.027300147013410166,0.8565857785887291,0.28562263611574
DV_PHO_std DF0,0.08561077764224581,0.08380195420065158,0.8194023783257592,0.2838933575763398
DV_PHO_skewness Shimmer,0.14039697619299102,0.15456695162426673,0.7182355488040855,0.28219179778589054
PP_F3_SD,0.07138719704096477,0.002851869557332848,0.8905679266764578,0.28216078480046347
DV_PHO_avg apq,0.11683271253956141,0.037586965172613944,0.8253739374962085,0.2803754650499283
DV_PHO_std Jitter,0.09638052451061038,0.03908395463793137,0.829361408168694,0.2778555160122131
PP_F0_SD,0.10696741749543683,0.011742047041568074,0.8299822868156241,0.2733236813041666
DV_PHO_std ppq,0.08910665883897281,0.025065976075697136,0.8194320268890667,0.26991743385343886
DV_PHO_avg DDF0,0.1553243984991448,0.04433748765098432,0.7403693251913097,0.2642600491699679
PP_JIT_M_local,0.03305392097061177,0.13538715857706662,0.7453980362256819,0.2640769847060936
PP_LHR,0.10548394691868444,0.15949870382862624,0.6723004010786441,0.26266158566448666
PP_GF3_SD,0.058507506203502514,0.02274267069390719,0.8109391631352578,0.26066891785475466
PP_F5_MEA,0.08792816960026659,0.07312396296039494,0.7468996831688672,0.25993652961081226
DV_PHO_std Shimmer,0.12772297279282963,0.12464065335548066,0.6735217536672643,0.2587612839976154
DV_GLO_global avg var GCI,0.03308618466952503,0.15750073105213055,0.7069890241365783,0.25808912693791114
DV_GLO_global avg avg H1H2,0.12979491560105672,0.06665801891109485,0.7069890241365782,0.2547201950889585
PP_GF4_SD,0.10403221649475038,0.05546567682514344,0.727616602364566,0.25295784321460574
PP_F5_MED,0.0822742521117908,0.05984729457645497,0.7299427051916514,0.2503994856239673
PP_F5_SD,0.10978611355858424,0.1789824469158866,0.6120332740771183,0.250312816663824
PP_LHR_M,0.10722318502223058,0.16358463714114133,0.6256621327174808,0.2500394361049757
DV_PHO_avg Shimmer,0.11617207724760553,0.11856058663721838,0.6566349905920269,0.24986505928643377
DV_GLO_global kurtosis avg HRF,0.11710294651629148,0.4853816565522365,0.3225036908612025,0.24151711069967816
DV_PHO_kurtosis DF0,0.09044572212321224,0.020366222223896696,0.7209667161879258,0.23947071483699436
DV_PHO_skewness logE,0.13536538735758372,0.015802360960526205,0.6902023510215304,0.23808437301810742
DV_PHO_std apq,0.15009396085123133,0.025066348860961568,0.6699528169695009,0.23727122447633692
DV_PHO_kurtosis DDF0,0.10418927445615365,0.03963775692765036,0.6803191107223205,0.23484302733983947
PP_JIT_M_ppq5,0.046096136780246245,0.13040548956644432,0.6361345467915636,0.2326609637851294
PP_F1_SD,0.04382397617955455,0.13957786259244062,0.6241540964818914,0.2309054898285885
DV_GLO_global skewness avg NAQ,0.05839295967875369,0.02584603787125726,0.7069890241365783,0.23023680864453855
DV_GLO_global std avg HRF,0.050343699271208894,0.032036142173567726,0.7069890241365782,0.23017448263860715
DV_PHO_kurtosis ppq,0.08581381554013326,0.018130536093989073,0.694525882910425,0.23005316200465142
DV_PHO_kurtosis Jitter,0.11266692691295482,0.023800334947602374,0.6571403377465004,0.22562557044344167
DV_PHO_skewness Jitter,0.12463703194513123,0.027939264437420615,0.6438908965599165,0.22507949146635636
DV_GLO_global avg avg QOQ,0.02195089068520787,0.021807931259154388,0.7069890241365782,0.2219388681928036
DV_GLO_global skewness avg HRF,0.025807326268270744,0.01799839678563263,0.7069890241365782,0.22175777169103575
DV_GLO_global avg std H1H2,0.020555462594171278,0.015146787610081923,0.7069890241365783,0.21999449666232823
DV_PHO_std logE,0.08151310542582926,0.10710458879082704,0.5875213852862973,0.21933518386876177
DV_PHO_skewness ppq,0.10174067604701645,0.024858551102700088,0.6395120800775853,0.21841639700835389
PP_SHI_M_local,0.09992808941880811,0.016224912142073993,0.6472148442258697,0.21820629918704104
DV_GLO_global std std HRF,0.01268743453172903,0.010953161066184599,0.7069890241365782,0.2173724844138654
DV_GLO_global std var GCI,0.008822512063443692,0.010066572269791406,0.7069890241365783,0.21637785272111007
DV_GLO_global kurtosis var GCI,0.006998755967101167,0.004863104388394921,0.7069890241365782,0.2147122345314924
DV_GLO_global skewness std H1H2,0.004673414556259221,0.005460761354551314,0.7069890241365782,0.2143965804908631
DV_GLO_global kurtosis std NAQ,0.0013702755854436567,0.0037144866288551575,0.7069890241365782,0.21329938401527596
DV_GLO_global kurtosis std H1H2,0.0,0.003605005956047498,0.7069890241365782,0.2129979587299853
DV_PHO_skewness DDF0,0.08281886964044322,0.019003397520485465,0.6301517165389988,0.21036013826990965
PP_GF5_SD,0.11627011088349708,0.19187727110697175,0.4539010628111367,0.20739365879678334
PP_SHI_local,0.09107071739504163,0.1320126807598818,0.5038864987538089,0.20238326329512143
PP_SHI_apq3,0.10005221787898146,0.1430516160387575,0.45196340161366017,0.1913623680695837
DV_PHO_skewness DF0,0.0830505771491826,0.0013133051271347347,0.5762298935899975,0.18980740978861946
PP_SHI_apq5,0.0812757493102261,0.15627337457480836,0.421442740291332,0.1817563155931469
PP_SHI_M_apq3,0.09330226542871554,0.053519317924025006,0.4943028476117821,0.180331136850284
PP_SHI_M_apq11,0.0745675409909414,0.021579697786797854,0.5237429941151078,0.1774313308794201
PP_SHI_M_apq5,0.08292728690209374,0.058896567231182875,0.4857970328535173,0.17704870904426964
PP_F2_SD,0.053845585562054384,0.06438871049631593,0.49406813142924944,0.17508673416526468
PP_SHI_apq11,0.07597148885494216,0.0780799036957576,0.4647440784562895,0.17413749723181468
PP_GF2_SD,0.04755044352490323,0.07120947320914049,0.48887119211088986,0.17397381464053274
DV_PHO_kurtosis logE,0.13682762101228096,0.03659838604783309,0.43808247190366423,0.16793986228551372
PP_JIT_abs,0.07094691750891004,0.04460107420939036,0.43992734222044894,0.15731785472026427
PP_GF5_MEA,0.057248219039360004,0.03632042054083561,0.4537812162925885,0.15666411383085746
DV_GLO_global kurtosis avg QOQ,0.04456649873918975,0.2022608086769033,0.3225036908612025,0.15622960917542453
PP_GF1_SD,0.027202158962807737,0.05610177644265485,0.43298185022935093,0.14936043097203053
DV_GLO_global std avg H1H2,0.1520802960504913,0.08838840863513646,0.3225036908612025,0.14926426862724312
DV_GLO_global std std NAQ,0.15405220475122613,0.07879230887988023,0.3225036908612025,0.14725962542857604
PP_JIT_local,0.06732414416275134,0.05687094338959272,0.3861367874581553,0.14352360091739502
DV_PHO_kurtosis apq,0.14867685954945123,0.027778985956685678,0.3443137588147505,0.13997424604348682
DV_GLO_global std avg NAQ,0.1396678480938953,0.05721291768957055,0.3225036908612025,0.13898790629953245
DV_PHO_skewness apq,0.1740408763139421,0.053526676178120465,0.3014922654779705,0.13863752395070966
DV_GLO_global kurtosis avg H1H2,0.11104007886110816,0.07670326084485295,0.3225036908612025,0.13813493824179562
DV_PHO_avg logE,0.1408633494941166,0.08166431342567164,0.2913617666721472,0.1359972782568854
DV_GLO_global std std H1H2,0.1026072031767293,0.07135722069829009,0.3225036908612025,0.13511185306827914
DV_GLO_global skewness std NAQ,0.08607501900026635,0.07346488568353864,0.3225036908612025,0.13233233247929868
DV_GLO_global skewness std HRF,0.1069772351347366,0.05546093760334853,0.3225036908612025,0.13201178868614521
DV_GLO_global kurtosis std HRF,0.08830644378365601,0.061807567865143756,0.3225036908612025,0.1298642879813779
DV_GLO_global avg avg HRF,0.08314936137580105,0.05036526697814293,0.3225036908612025,0.1259722962780567
