features,slope,target,target_slope,score
DV_GLO_global std std HRF,0.14844394140343808,1.0,0.6968304292289245,0.488737917049365
DV_GLO_global kurtosis std NAQ,0.08544710133317263,1.0,0.6968304292289245,0.47613854903531183
DV_GLO_global avg avg NAQ,0.042740492070023554,1.0,0.6968304292289245,0.46759722718268204
PP_JIT_M_abs,0.06465206198749616,0.42551259249466183,1.0,0.41930856052116466
PP_JIT_M_ppq5,0.0844667037187697,0.4130308924783286,0.9399834648416814,0.4021461033158405
PP_F0_SD_M,0.18981543303561466,0.33754292212707443,0.8182158408937212,0.36781356940700793
DV_GLO_global avg std QOQ,0.2085314801948577,1.0,0.19686755401728492,0.350766562244157
DV_GLO_global avg avg HRF,0.19305079543632367,1.0,0.196867554017285,0.34767042529245024
DV_GLO_global avg var GCI,0.19269163465995773,1.0,0.19686755401728498,0.34759859313717706
DV_GLO_global avg avg QOQ,0.1744247344579946,1.0,0.19686755401728498,0.34394521309678444
PP_LHR,0.08809714873654971,0.4141472807553577,0.7327031485675733,0.3409671945064214
DV_GLO_global std std NAQ,0.15812454882157717,1.0,0.19686755401728498,0.34068517596950093
PP_GF2_SD,0.0003628978248901907,0.3882961273437751,0.7935899403865342,0.335223593516882
PP_SHI_apq11,0.1242749301028771,0.21982206714702868,0.8376587618636403,0.3311081313664247
DV_GLO_global std std H1H2,0.10108450599365698,1.0,0.19686755401728492,0.3292771674039168
PP_GF4_SD,0.20699973988457016,0.37428980801735745,0.630671188375295,0.3241737564938419
PP_F4_SD,0.18230872498603318,0.34969909999746895,0.6635670404108983,0.3229566321198434
PP_F0_SD,0.20951049733223812,0.10503502340157647,0.8489929909696118,0.3228587526077253
DV_PHO_avg ppq,0.17913290750139937,0.21584409952613148,0.7634491300179849,0.3188223453872082
PP_F5_SD,0.10488736431544478,0.2453163251121709,0.7625720943816874,0.3110781824556379
PP_GF3_SD,0.0533827274330362,0.11231614085352173,0.9074269274694775,0.3109836589408309
DV_PHO_std apq,0.05814860831726672,0.33261677926780564,0.7193765703352327,0.3105968875809746
PP_GF2_MEA,0.00039333833265061725,0.2858417665253159,0.7890340356849781,0.30824932000335253
DV_PHO_std ppq,0.13481417241051283,0.20036803808142295,0.7617221516764235,0.3055714895053854
PP_GF2_MED,0.02456011264419348,0.10875407684360756,0.8708510181500168,0.2933558471847456
DV_PHO_skewness Jitter,0.14135776584853602,0.1744418060761048,0.7130172613338583,0.2857871830888909
DV_PHO_avg Shimmer,0.04117834116703531,0.28808207208426856,0.683015289053613,0.2851607729705581
DV_PHO_kurtosis Shimmer,0.16627270797887952,0.39729487260379115,0.5010456822663903,0.2828919644266408
PP_F3_SD,0.0,0.27121418140515247,0.7166492461611075,0.28279831919962034
DV_PHO_avg Jitter,0.22342053033178413,0.02950458897995665,0.7678866843104504,0.2824262586044811
PP_SHI_apq3,0.08286129572091372,0.2926556188745909,0.6222820851640772,0.2764207894120536
DV_PHO_kurtosis Jitter,0.10954487612826998,0.15527275655434616,0.7134948914374332,0.2747756317954705
DV_PHO_avg apq,0.1874604372329281,0.026348410316654577,0.7540605838501789,0.27029736518080294
PP_GF1_MEA,0.20749851906043876,0.05513927282701142,0.7138379138755431,0.26943589618150354
PP_JIT_M_rap,0.07704086066171639,0.17269473599712487,0.7019707886443339,0.2691730927249247
DV_PHO_std logE,0.15314227899322277,0.3441539345946258,0.5068030725434908,0.26870786121034823
PP_SHI_local,0.08477912897689997,0.0811801474655321,0.7705236822378937,0.2684079673331311
DV_PHO_std Jitter,0.14673131621542013,0.023499909721265647,0.7756794479937711,0.26792507507153174
DV_PHO_kurtosis DF0,0.1145855442470075,0.13466899818265496,0.6889876710506289,0.2632806597102539
DV_PHO_avg DDF0,0.14732678834406815,0.03620755152607503,0.747683833744931,0.26282239567381166
DV_PHO_kurtosis DDF0,0.10444774423469788,0.1129881858231599,0.7119283170161914,0.26271509040758695
DV_PHO_std DF0,0.13839840801218417,0.01613993290463001,0.7668038452724464,0.26175581841032824
PP_SHI_apq5,0.10045039809542292,0.25529763990832227,0.590254109769738,0.26099072252708655
PP_LHR_M,0.1173188926043,0.35380300109149393,0.48609149685594655,0.25774197785051745
PP_SHI_M_local,0.1979964396252977,0.028341550428215463,0.6976945102894121,0.255993028618937
DV_PHO_kurtosis ppq,0.12181634596865909,0.006358886173235396,0.7644742498478123,0.25529526569138433
PP_SHI_M_apq11,0.0923110835977102,0.049902376707860116,0.739604023430615,0.25281901792569156
PP_F1_MEA,0.23734827553921967,0.036526375645399706,0.6519822324183756,0.25219591874470654
DV_PHO_skewness ppq,0.13284528772729964,0.02110363420001023,0.7293152743721772,0.25063954840711566
PP_JIT_M_local,0.13260531798918818,0.20338883059996418,0.5722417489221931,0.24904079592448664
DV_PHO_skewness DF0,0.031237320548948212,0.061857283781923594,0.747666602457539,0.24601176579253226
DV_PHO_avg DF0,0.10512212663939302,0.22812481296395223,0.5386483776771078,0.239650141871999
PP_F4_MED,0.06989518773266729,0.18614213425542056,0.5952353271821671,0.23908516926503873
DV_PHO_skewness Shimmer,0.12145465512029634,0.39786247224619964,0.36934874770047554,0.23456117339575183
PP_GF1_SD,0.12780081458202555,0.013678944177593246,0.6719864775468094,0.23057584222484623
DV_PHO_skewness logE,0.14800097903970416,0.2203410722842965,0.4474520103145837,0.21892106697339006
DV_PHO_avg logE,0.13378603619889406,0.13312375672807572,0.49630605631573016,0.20892996331651678
DV_PHO_std Shimmer,0.01943581447496659,0.0010037037227740942,0.6738089700755473,0.20628077984835103
PP_JIT_abs,0.06257946163544832,0.15662236637083324,0.5136385572685656,0.20576305110036763
PP_SHI_M_apq5,0.12382981147177029,0.02710030885014765,0.5796604597490613,0.20543917743160936
PP_F1_SD,0.18105180543945204,0.09331908685828458,0.4528387652876389,0.19539176238875322
DV_PHO_skewness DDF0,0.03128185119063003,0.01589998359627196,0.6146109238218701,0.19461464328375502
PP_GF5_MEA,0.05828914936103545,0.6231549054424997,0.08696340522495075,0.19353557780031724
