features,slope,target,target_slope,score
DV_GLO_global avg avg QOQ,0.2525726022825076,1.0,0.6914831963601987,0.5079594793645611
DV_GLO_global avg var GCI,0.18347243705411126,1.0,0.6914831963601987,0.49413944631888185
DV_PHO_avg apq,0.223950368494283,0.33772874384774754,1.0,0.42922225966079347
DV_PHO_avg logE,0.16397936223655518,0.4960130273460749,0.7836649249592283,0.39189860677159827
DV_GLO_global std avg HRF,0.24074857256910326,1.0,0.2906259582053429,0.38533750197542355
DV_GLO_global kurtosis std H1H2,0.2266103125574272,1.0,0.2906259582053429,0.38250984997308835
DV_PHO_avg Shimmer,0.21026545810831374,0.30228254251962794,0.8778514792923733,0.3809791710392817
DV_GLO_global avg avg HRF,0.2138686954037242,1.0,0.2906259582053429,0.3799615265423477
DV_PHO_avg ppq,0.10400679510046687,0.3482286967817976,0.8966805861612589,0.37686270906392044
DV_GLO_global avg std NAQ,0.17476267768676695,1.0,0.2906259582053429,0.3721403229989563
DV_GLO_global std avg NAQ,0.12324815549183978,1.0,0.2906259582053429,0.3618374185599708
DV_PHO_avg DF0,0.34525440176893607,0.40501424724468454,0.5651429826627988,0.339847336963798
DV_PHO_avg DDF0,0.27135243478510673,0.15042656573818503,0.8207265842618781,0.338095103670131
DV_PHO_avg Jitter,0.14305361231176544,0.11971653180777436,0.9291280112641315,0.3372782587935361
PP_GF1_SD,0.024590092334302198,0.3512348147705808,0.802140174356991,0.33336877446660296
PP_F3_MEA,0.243591110561056,0.437958371691555,0.5803171940010996,0.3323029732354298
PP_GF3_SD,0.23524629046951503,0.26180891438114057,0.7076032672588823,0.32478246686685286
PP_SHI_M_apq5,0.10133090497839589,0.33002673291326884,0.735416780555081,0.3233978983905207
PP_SHI_M_local,0.08758147842510708,0.40069020852477016,0.6677949647685687,0.31802733724678456
PP_F5_MED,0.12345243368103392,0.2830212631821472,0.7410454763379484,0.31775944543312806
PP_F5_MEA,0.14577829397626152,0.32748118352763217,0.6767862553774856,0.31406183129040605
DV_PHO_std Jitter,0.09778461502134339,0.2350296597353648,0.783834842626831,0.3134647907261592
DV_PHO_skewness DDF0,0.4222782730293267,0.1358967353915586,0.6413792985388496,0.3108436280154099
PP_SHI_M_apq11,0.04700164983314976,0.32355445816096334,0.7277468799958944,0.3086130085056391
PP_F3_SD,0.3115705235223621,0.015391267135893408,0.807067500835711,0.30828217173915906
DV_PHO_kurtosis ppq,0.21768206424778444,0.23969364165567808,0.6759241940526699,0.3062370814792774
DV_PHO_std DF0,0.07626013069277107,0.17284875208107006,0.8199215415770067,0.30444067663192376
PP_SHI_M_apq3,0.0840405400995573,0.3729733973666962,0.6379476447888573,0.3014357507982427
DV_PHO_std apq,0.24856543488075003,0.03583625485855337,0.8046558997094514,0.3000689206036238
DV_PHO_skewness ppq,0.2088978344575569,0.2702555499606309,0.6341859801215691,0.29959924841813984
PP_LHR,0.07459668734867572,0.3399229445491641,0.6568104461707335,0.2969432074582462
DV_PHO_std Shimmer,0.1917592025418596,0.06310676780246584,0.7984497629397749,0.2936634613409208
PP_LHR_M,0.08499032061419808,0.26840470381946196,0.6886165921217947,0.2906842177142435
PP_JIT_M_local,0.07214303694921566,0.16698396116753458,0.7500372331749159,0.28118576763420156
PP_JIT_M_ppq5,0.046057172651128235,0.22461890536176835,0.6999040479498284,0.27533737525561625
DV_GLO_global avg std H1H2,0.0,0.24956786000074788,0.6914831963601987,0.2698369239082466
PP_F3_MED,0.2153858770040817,0.3421881896061985,0.4656898259154299,0.26833117057699496
PP_JIT_M_abs,0.0735870166678651,0.13463774471740686,0.7243240437417922,0.2656740526354624
PP_F0_SD_M,0.18008649896261045,0.2865048365025395,0.5119424412277078,0.2612262412864693
PP_GF5_SD,0.19876568615407816,0.29635577578349587,0.4822751614952103,0.2585246296252527
PP_F4_SD,0.10409787633711678,0.03647837014887102,0.7504797714910934,0.2550830992519691
DV_PHO_skewness DF0,0.4302845487787993,0.16086645699396976,0.4011085643502053,0.24660609330931388
PP_SHI_apq11,0.061295116522587345,0.21202532820409123,0.5885125925519329,0.24181913312112013
PP_SHI_apq5,0.10100727330266156,0.08227208601395619,0.6477529630284482,0.2350953650725558
DV_PHO_skewness logE,0.14570959558450683,0.3060237363418978,0.4243160142744794,0.23294265748471965
PP_F2_MEA,0.14353384108648395,0.11166638638861233,0.5698551311859298,0.2275799041702288
PP_F5_SD,0.19740176304388019,0.12372552520416005,0.509343465991167,0.22321477370716614
PP_GF3_MEA,0.15280991742665676,0.5027645204551677,0.21887925414707218,0.22191688984324492
PP_F1_SD,0.03426694398364576,0.25967968749657105,0.5000144093261557,0.22177763346871862
PP_F0_SD,0.08990139976502774,0.053283821023258925,0.6272548915260957,0.21947770266664898
PP_SHI_local,0.08699294065050953,0.1559963799270147,0.5305587297191661,0.2155653020276054
PP_JIT_local,0.08789389404125938,0.3000557483231853,0.40765916336631447,0.21489046489894253
DV_PHO_kurtosis DDF0,0.27713328178110364,0.19054983425885866,0.3725805930016038,0.21483829282141653
DV_PHO_skewness apq,0.3430089439729259,0.3072650813438399,0.22894432427376085,0.21410135641267342
PP_GF4_SD,0.14610966000428305,0.06648258652566469,0.5355131940828494,0.2064965368571276
DV_PHO_kurtosis DF0,0.18188641322853102,0.0010076474117135161,0.5429016134250705,0.19949967852615572
DV_GLO_global avg avg NAQ,0.23351001500767113,0.24956786000074788,0.2906259582053429,0.19628175546332405
DV_PHO_kurtosis Jitter,0.2540374714400553,0.039624862115973006,0.4447057395722776,0.19412543168868757
DV_PHO_skewness Jitter,0.2616182382777566,0.013935368356918325,0.4594724310842403,0.193649219070053
DV_PHO_kurtosis apq,0.29753142020735873,0.2862607237615144,0.194700044927304,0.18948147846004154
DV_PHO_kurtosis logE,0.057098626914926585,0.31524209094133443,0.3206964126185139,0.1864391719038731
PP_F4_MEA,0.13545168958626175,0.0457981778957433,0.47016645841369653,0.17958981991529716
DV_PHO_std logE,0.20911660713418614,0.07008259263305813,0.39891678841923395,0.17901900611087193
DV_GLO_global avg std HRF,0.13113724465782273,0.2495678600007491,0.2906259582053429,0.1758072013933547
PP_F0_M,0.08751872668239069,0.11496857221164797,0.4009148652324431,0.16652034795912304
PP_F2_MED,0.140464265768599,0.025418093254865413,0.4226532970802022,0.1612433655914968
PP_HNR,0.27892880296212097,0.27701480057041733,0.09944715363764708,0.15487360682632265
PP_F0,0.09352397575176499,0.12973188985002543,0.2981111408187804,0.14057110985849347
PP_F4_MED,0.14803355959610578,0.024750586229180145,0.34553354082914317,0.13945442072525915
PP_GF5_MEA,0.07740220770378388,0.15762047763503942,0.2689526672061233,0.13557136111135362
DV_PHO_kurtosis Shimmer,0.1322919171793174,0.2972087925915743,0.11396125438463746,0.1349489578991483
DV_PHO_skewness Shimmer,0.17965440116340944,0.31156126100521764,0.06417339488042603,0.1330732139481141
PP_GF2_MEA,0.13106423899830605,0.16868104807398382,0.21280819936123566,0.13222556962652787
PP_F1_MEA,0.06658121875001387,0.2805622982929061,0.16107634041499605,0.13177972044772812
PP_GF2_SD,0.0824883858631529,0.07548270902859022,0.305654860420751,0.12706481255600344
PP_F2_SD,0.07226646490115636,0.1463577911432034,0.2526461956480171,0.12683659946043724
PP_CPP_M,0.24632143087672986,0.15073828432359435,0.12422665331702461,0.12421685325135196
PP_CPP_SD_M,0.18394385707131217,0.2838828404935789,0.05054241836185413,0.1229222070462134
PP_GF4_MEA,0.1359183401414797,0.0960862405222723,0.22285099270979208,0.11806052597180164
PP_HNR_M,0.28227763361680175,0.0,0.07458567997753215,0.07883123071661999
PP_F1_MED,0.08595802833927262,0.03270187106440592,0.1572032978860516,0.07252806279977149
PP_GF1_MEA,0.04495651845292414,0.14356665887264858,0.022839500925013623,0.051734818686251065
PP_GF1_MED,0.022981891953399045,0.031472459666112604,0.0,0.01246449330720796
