features,slope,target,target_slope,score
DV_GLO_global skewness avg H1H2,0.2511054033874053,1.0,0.787673235962832,0.5365230514663306
DV_GLO_global avg avg H1H2,0.24194691524890932,1.0,0.787673235962832,0.5346913538386314
DV_GLO_global std std H1H2,0.2175165160046997,1.0,0.787673235962832,0.5298052739897895
DV_GLO_global avg var GCI,0.17993954401523182,1.0,0.787673235962832,0.522289879591896
DV_GLO_global avg std H1H2,0.17159475072672115,1.0,0.787673235962832,0.5206209209341939
DV_PHO_avg DDF0,0.433389703008814,0.3144314653157899,0.9111661857854716,0.4386356626663518
DV_PHO_skewness DF0,0.3559631988839826,0.2685949477188278,0.9372897941646139,0.41952831495588766
PP_GF5_MEA,0.24020195289244933,0.3150533367129748,0.9717538619514997,0.41832988334218346
PP_GF5_MED,0.25417105496385656,0.26294664805639645,0.9462032030280054,0.40043183391527204
PP_GF1_SD,0.276046443722978,0.3711119830903629,0.8081763410795602,0.3904401868410544
DV_GLO_global avg avg NAQ,0.23364836346035714,1.0,0.2791053431371595,0.38046127563321924
PP_GF3_SD,0.22080333858810544,0.20647055833589048,0.922013813540254,0.3723824513636699
PP_GF2_SD,0.19174385327645121,0.3096519108453042,0.8512307694923448,0.3711309792143197
PP_GF4_SD,0.1226314907715377,0.15201492796750377,1.0,0.36253003014618346
DV_GLO_global avg std NAQ,0.14115995229704018,1.0,0.2791053431371595,0.3619635934005559
PP_GF1_MEA,0.18661927011725613,0.3921220607656007,0.7147382807335602,0.34977585343491946
PP_GF1_MED,0.19194159237967484,0.43990750939190815,0.6515196840354063,0.3438211010345339
DV_PHO_std ppq,0.23251042312506032,0.2830653390207998,0.7407752641529968,0.33950099862611105
DV_PHO_skewness Shimmer,0.25000050606217245,0.10286811696066583,0.8789110646242873,0.3393904498398871
DV_PHO_avg DF0,0.2999881579288482,0.19597302925728832,0.7479992013843758,0.33339064931540446
DV_GLO_global std std HRF,0.06311843525610192,0.33296616268423734,0.7876732359628321,0.33216719851112936
