features,slope,target,target_slope,score
DV_GLO_global skewness std QOQ,0.17176268093391478,1.0,0.7416281364041718,0.5068409771080344
DV_GLO_global avg avg QOQ,0.10274031345859937,1.0,0.7416281364041718,0.4930365036129714
DV_GLO_global avg var GCI,0.0609026473516783,1.0,0.7416281364041718,0.4846689703915872
DV_GLO_global avg std NAQ,0.016186972617725337,1.0,0.7416281364041718,0.4757258354447966
DV_PHO_skewness Shimmer,0.3379232042478389,0.4207642668471056,0.8167731628519053,0.41780765641691575
DV_PHO_std logE,0.10206286659490788,0.4469852085056175,0.9361057011924405,0.4129905858031181
DV_GLO_global skewness avg QOQ,0.2387865055054724,1.0,0.3050201282966736,0.38926333959009657
DV_GLO_global std var GCI,0.21864036773129364,1.0,0.3050201282966736,0.3852341120352608
DV_GLO_global avg std H1H2,0.1913697592816257,0.9999999999999999,0.3050201282966736,0.37977999034532717
PP_GF5_SD,0.27617951695488674,0.06342368187845959,1.0,0.37109182386059225
DV_PHO_kurtosis Shimmer,0.3329337941278401,0.24450838058353858,0.8069284225110742,0.36979238072477494
DV_PHO_skewness DDF0,0.24896569615270034,0.2207853063476286,0.8242954831379349,0.35227811075882765
PP_JIT_M_local,0.12740436508139003,0.27397338770645235,0.7764448478073711,0.3269076742851024
DV_PHO_std Shimmer,0.1794249679023528,0.15111179615113646,0.8379068156278184,0.3250349873066002
PP_SHI_M_local,0.13874116119526836,0.153433046984337,0.8248161758490953,0.3135513467398665
PP_GF5_MEA,0.11623290590283493,0.31066054271662097,0.6986787567856088,0.3105153438954048
DV_GLO_global std std QOQ,0.07766491357729771,0.2490903965496766,0.7416281364041718,0.3002940227741302
PP_JIT_M_ppq5,0.12361018546176895,0.2755376832755191,0.6869517276200678,0.2996919761972539
DV_PHO_avg apq,0.24289196229689242,0.18175193284284138,0.6748984034197967,0.2964858966960278
PP_SHI_apq11,0.15206356281941316,0.1046764147625886,0.7966901802298166,0.29558887032347475
PP_JIT_M_abs,0.11461030661894318,0.2841334988532795,0.6685670240802782,0.29452554326119196
PP_SHI_M_apq11,0.13704430409809132,0.11720637527603667,0.7889491231423968,0.29339519158134647
PP_SHI_local,0.13615743821411824,0.07345148907133354,0.8153570214946722,0.2902014663590587
DV_PHO_skewness DF0,0.32157014593641836,0.3168072514268875,0.4838704159641123,0.2886769668332392
DV_PHO_avg Jitter,0.29942752569439735,0.14208257905514085,0.5883904049360257,0.2719232713834724
DV_PHO_skewness logE,0.21402843049882336,0.07270247697897851,0.6962991959072454,0.26987106411668293
PP_SHI_M_apq5,0.14471098088911044,0.0487607696431011,0.7439948206268538,0.26433083477665353
DV_PHO_std DDF0,0.14397564982079702,0.33255099121592796,0.5078064972927695,0.26427482695597226
PP_GF2_MED,0.05681722551530687,0.1134543015678834,0.7396700555563852,0.26162803716194777
DV_PHO_kurtosis logE,0.23708883303261397,0.09678185877927029,0.6295588957102338,0.2604809000144105
DV_PHO_avg DF0,0.245182245395477,0.18405533594290346,0.515649633377494,0.24974517307806948
PP_F0_SD,0.14030089927257727,0.11836944460772235,0.6306163434376937,0.24683744403775415
DV_PHO_skewness ppq,0.3033840479560945,0.4145530806786423,0.2719779943200897,0.2459084780569064
DV_PHO_std apq,0.15940176044655552,0.026059069427904518,0.691213465745634,0.24575915916997743
PP_LHR_M,0.1494047465651138,0.1726920050236037,0.5669611137308335,0.24314228468817373
PP_GF1_SD,0.055164531279747735,0.31312321691214967,0.5074665511684169,0.24155367583451204
PP_CPP_M,0.11580662792915186,0.44748544560493475,0.35175632463817874,0.24055958437851765
PP_CPP_M2,0.11985718487317414,0.4359137084422473,0.34749275071528807,0.23719768929978308
DV_PHO_kurtosis DDF0,0.2535874346219355,0.14174265632914848,0.47972641818156087,0.23007107646114247
PP_JIT_ppq5,0.07329206979810884,0.24115254192778798,0.49430869537277006,0.22323915805339978
PP_GF3_MED,0.05260956984522716,0.19185869675483266,0.5485046881505207,0.2230379946029098
PP_LHR,0.12759377236502753,0.06214902851015235,0.6048302669376031,0.22250509168182453
PP_GF2_MEA,0.07409950336912256,0.18853716701177628,0.5299810678488113,0.22094851278141195
DV_PHO_std Jitter,0.18302450175994325,0.06916224295382416,0.5443331702392902,0.21719541216223173
DV_PHO_skewness Jitter,0.2706013177992782,0.06233787546040029,0.48820456861585004,0.21616610300971073
PP_JIT_local,0.06988913930011968,0.21631219286525027,0.4920850160831998,0.21568138090129646
DV_PHO_avg DDF0,0.2181562843398765,0.01845362267707212,0.553095391452688,0.21417327997304975
DV_PHO_kurtosis Jitter,0.2591795342115715,0.06344733944786678,0.4653891483651214,0.20731448621381743
PP_CPP_SD_M,0.0579800987971241,0.2630266446076074,0.41947089008937394,0.20319394793813883
PP_GF2_SD,0.147968159880385,0.24073027512587628,0.36217061343971635,0.19842738478946098
DV_PHO_std DF0,0.17403586722129807,0.019745432656644607,0.5232594778119655,0.19672137495201042
DV_GLO_global avg avg NAQ,0.21295744812880035,0.24909039654967782,0.3050201282966736,0.19637012725218161
DV_PHO_kurtosis ppq,0.30276012846840766,0.18019734109462304,0.27167353702357433,0.1871034220744096
DV_PHO_avg ppq,0.1568583733900839,0.018515648151937042,0.5026566609682143,0.18679758500646532
PP_F0,0.10600042508158025,0.007569379125581253,0.5440078213703554,0.18629477620881799
DV_PHO_std ppq,0.13935915532402768,0.11372514452796183,0.42072086043610557,0.1825193753276277
DV_PHO_kurtosis DF0,0.2542014096591015,0.010338311539021193,0.4285481786450749,0.18198931341009805
PP_F0_SD_M,0.1921785296632393,0.10181999606588928,0.38421165529606954,0.17915420153794104
PP_GF4_SD,0.20303356798477284,0.21384255913615619,0.26661328464142786,0.174051338773422
PP_GF3_SD,0.12703437379282048,0.1983154217762374,0.32674495528903647,0.1730092167893344
PP_JIT_abs,0.05316558945206317,0.11834081066034423,0.4211413248624838,0.16656071801424382
PP_HNR_M,0.1178448072296518,0.10096406750824101,0.3681042824795435,0.15924126306685366
DV_GLO_global avg avg HRF,0.005616545505850334,0.24909039654967657,0.3050201282966736,0.15490194672759128
DV_PHO_avg Shimmer,0.10367684829263323,0.07029652538363575,0.3880378446927101,0.1547208544122486
DV_PHO_avg logE,0.2679047907698874,0.13341039180558792,0.16291532172726042,0.13580815262355259
PP_HNR,0.12017485781690479,0.0884282153205029,0.29001354036789284,0.13314608750387452
PP_GF4_MED,0.06840644516779806,0.06380356698581849,0.31205570600939075,0.12324889258283145
DV_PHO_kurtosis apq,0.20676869789774632,0.08900770024843357,0.17064857238698097,0.11480023635775195
DV_PHO_skewness apq,0.25333129738440446,0.0,0.18276967377829073,0.10549716161036811
PP_GF3_MEA,0.06724687288241205,0.11541065138135666,0.20572623830268535,0.10401990891262719
PP_GF1_MED,0.0,0.30515824274479414,0.0743654180277315,0.09859918609451798
PP_GF4_MEA,0.14253931006025575,0.03632430751599857,0.19687287880636709,0.0966508025329609
PP_GF1_MEA,0.030229718624897196,0.29290666728328807,0.0,0.07927261054580145
