features,slope,target,target_slope,score
DV_PHO_avg DDF0,0.3004134752903794,0.4838416431993031,,
DV_PHO_avg DF0,0.3662581528086156,0.589890138312771,,
DV_PHO_avg Jitter,0.002762119886890363,0.004448630752980418,,
DV_PHO_avg Shimmer,0.056679655109391866,0.09128744120945287,,
DV_PHO_avg apq,0.04983521559980076,0.0802638849062685,,
DV_PHO_avg logE,0.0,0.0,,
DV_PHO_avg ppq,0.07318693122697492,0.11787382384011166,,
DV_PHO_kurtosis DDF0,0.19398353468968216,0.3124271043006392,,
DV_PHO_kurtosis DF0,0.18494986303415759,0.29787760203977315,,
DV_PHO_kurtosis Jitter,0.21747406197736213,0.35026061130794994,,
DV_PHO_kurtosis Shimmer,0.10026928205875235,0.16149227043436426,,
DV_PHO_kurtosis apq,0.079267309637375,0.12766679427367122,,
DV_PHO_kurtosis logE,0.02871368595137835,0.04624585158703281,,
DV_PHO_kurtosis ppq,0.15359719930927654,0.24738145062493214,,
DV_PHO_skewness DDF0,0.17926187931391477,0.28871661687746314,,
DV_PHO_skewness DF0,0.3034570889337973,0.4887436437672593,,
DV_PHO_skewness Jitter,0.18130129332087538,0.29200126788500447,,
DV_PHO_skewness Shimmer,0.05363129592985982,0.08637779754895845,,
DV_PHO_skewness apq,0.15049478255814341,0.2423847426133944,,
DV_PHO_skewness logE,0.07902952830007998,0.12728382705541394,,
DV_PHO_skewness ppq,0.11592895312370989,0.18671351249984044,,
DV_PHO_std DF0,0.09232076376446692,0.14869050064427938,,
DV_PHO_std Shimmer,0.07632392916088292,0.12292622780963322,,
DV_PHO_std apq,0.014169005095693578,0.022820396792697466,,
DV_PHO_std logE,0.10320736897515054,0.1662243111662867,,
PP_CPP_M,0.1169364380703023,0.18833615333373332,,
PP_CPP_SD_M,0.15445409835526405,0.24876155996278965,,
PP_F0,0.08090642249311464,0.13030672597694642,,
PP_F0_SD,0.22780710855893896,0.3669028682255283,,
PP_F0_SD_M,0.1440976943788182,0.2320816839593719,,
PP_F1_MEA,0.13307687087906508,0.2143317033821829,,
PP_F1_MED,0.07375011960360921,0.11878088697806874,,
PP_F1_SD,0.07637571097838435,0.12300962686369885,,
PP_F2_MEA,0.14863054717216584,0.23938223178531057,,
PP_F2_MED,0.20980045015682272,0.337901601949483,,
PP_F2_SD,0.23813398872082692,0.38353519359582156,,
PP_F3_MEA,0.1474017310477183,0.23740311812448767,,
PP_F3_MED,0.12895007627897467,0.20768514707000774,,
PP_F3_SD,0.13537708084089753,0.21803638862162059,,
PP_F4_MEA,0.015836924194577898,0.02550672341885036,,
PP_F4_MED,0.06802850727552998,0.10956574006133561,,
PP_F4_SD,0.1291787998009526,0.20805352590056841,,
PP_F5_MEA,0.13131384179756483,0.21149219397942828,,
PP_F5_MED,0.16551607262755955,0.26657781738520525,,
PP_F5_SD,0.01649653659853659,0.026569085715007573,,
PP_JIT_M_local,0.06004321244696445,0.09670473851155659,,
PP_JIT_M_ppq5,0.13408470139129053,0.2159549007791379,,
PP_JIT_M_rap,0.16144715142996108,0.2600244711466866,,
PP_JIT_local,0.06444856284744817,0.10379993280861166,,
PP_SHI_M_apq11,0.11008255528072809,0.1772973878189788,,
PP_SHI_M_apq3,0.12878320837443438,0.20741639201149392,,
PP_SHI_M_apq5,0.113894247525148,0.18343644478747034,,
PP_SHI_M_local,0.0746267679747462,0.12019280429632134,,
PP_SHI_apq11,0.10281042037747652,0.16558499143677524,,
PP_SHI_apq3,0.18342297816711625,0.2954184231286696,,
PP_SHI_apq5,0.1670318369958298,0.26901908578016615,,
PP_SHI_local,0.14425943141081757,0.23234217530801432,,
