features,slope,target,target_slope,score
PP_MFC_4_kurt,0.36931256062714296,0.7000068130575586,0.8981877114525832,0.5183205288255932
PP_MFC_6_max,0.2950369414140167,0.5868097365450993,1.0,0.5057098224190781
DV_PRO_skw1Evoiced,0.3429996338183432,0.5593893053981445,0.9487566873917664,0.4930742593307347
DV_PHO_skewness DF0,0.20677909091671157,0.690188748946672,0.7800903439730623,0.44793010861192906
DV_PHO_kurtosis Shimmer,0.35926619310582736,0.37634877248696536,0.9206606820059551,0.4421386363446933
DV_PHO_skewness Shimmer,0.3362841317823259,0.3951840000177495,0.8987565707933457,0.4356797975989063
DV_PRO_maxdurpause,0.17736000623841525,0.6136596462435028,0.8026324834635948,0.4296766578476372
PP_F3_MEA,0.21493696330025266,0.4942773636300958,0.8755038826341646,0.4292078983578238
DV_PRO_PVU,0.22195808108756476,0.6221101363157876,0.757015766997207,0.4270238803956219
DV_PRO_std1Eunvoiced,0.1884122026876669,0.6332499024365985,0.7614296576574386,0.4244238134439146
DV_PRO_stdEunvoiced,0.20730609987107926,0.44579769795508206,0.8831580385662839,0.4178580560328715
DV_PRO_F0tiltstd,0.15991241176250712,0.4361450564713773,0.9052340056496903,0.4125889481652528
DV_PRO_1F0ku,0.27777882715215035,0.4103774423016738,0.8399785739181781,0.4101436981813019
DV_PRO_stddurpause,0.1518096390790819,0.5411380451120286,0.7981129151668378,0.40508031364387487
DV_PRO_avgmseEunvoiced,0.10263404178054963,0.4437680234463741,0.906542508233738,0.40343156668782487
DV_PRO_skwmseEunvoiced,0.4809425530694835,0.7007697635038805,0.3814157875975969,0.3858056877691459
PP_MFC_6_kurt,0.19559777663592048,0.42718818446093315,0.7798750580094835,0.37987911884526243
PP_MFC_4_max,0.18026339630985763,0.4007786064639645,0.797411778216969,0.3754708643430533
DV_PRO_F0mseavg,0.10506980232192929,0.4757886126063014,0.7666603437196984,0.3699592167318707
PP_F4_SD,0.34493959200214114,0.08669033570454666,0.9210406771668253,0.3669727054766124
PP_MFC_2_min,0.20397907162009218,0.10545251157153687,0.9901430559086464,0.3642018589894966
DV_PRO_kurtosislastEvoiced,0.41724425245134245,0.16341911163978673,0.7965617069415338,0.3632721404826753
DV_PRO_PU,0.27198508385868214,0.2930563550384742,0.7823004398421938,0.3623512374840131
PP_F5_SD,0.20363555980490808,0.24804734791446872,0.8599686619101359,0.3607295475126395
PP_MFC_9_min,0.2702764113639192,0.27961597040586983,0.7843310599103612,0.35925859284735967
DV_PRO_stdlastEunvoiced,0.18974908126853043,0.39756043175348377,0.7222469174065823,0.3540139994140517
DV_PRO_skwdurpause,0.2977418213082763,0.57473791078238,0.49497641964266326,0.3517257678500493
PP_JIT_M_ppq5,0.18187572203736932,0.46968499087710475,0.6406525649754263,0.34599216161937796
PP_MFC_2_median,0.2093141102541027,0.24998098856310186,0.804471208374261,0.3456994317038743
DV_PRO_F0tiltmax,0.16818379457175556,0.3278406887676119,0.7663504793779726,0.34550207491964585
DV_PRO_kurtosis1Eunvoiced,0.3957801430727685,0.19042452792218742,0.7256815006419467,0.3444666107876846
PP_MFC_11_kurt,0.3708946835623983,0.2999858707258286,0.6495632918172675,0.34404439193911707
DV_PRO_kurtosislastEunvoiced,0.37534400542346563,0.14296058905716238,0.7756784360301571,0.34351247915803085
PP_MFC_12_skew,0.19386278605051857,0.5195805079395164,0.5816039935597992,0.34314888226292256
PP_MFC_1_median,0.28140261613899253,0.23666171156526603,0.7508487366369417,0.34070057211019755
PP_F1_MED,0.3759222686434178,0.41012623718648533,0.5431138833266255,0.34065017802329256
PP_MFC_10_kurt,0.13647431935579835,0.5491851076449654,0.5825130111561093,0.33934504412923383
PP_MFC_2_mean,0.2795765045059474,0.1854685866459175,0.7881243621919732,0.33871975622026085
PP_F2_SD,0.22957140325543424,0.1205267445968171,0.871619657678505,0.3375318641038426
DV_PRO_skwEvoiced,0.3332924149614404,0.10495885603686185,0.8086239579539374,0.33548538438768477
DV_PRO_kurtosistiltEvoiced,0.15032118382949475,0.21487630397894986,0.8370499081398582,0.3348982852025939
PP_F1_MEA,0.23751581301358393,0.3667026511197251,0.6515867967790445,0.3346548644163614
DV_PRO_F0tiltmin,0.25583344610103015,0.46312357198129406,0.5589268090723949,0.334625624937248
PP_MFC_3_sd,0.1417395388867605,0.3687695728133932,0.7070297394201366,0.33264922280674136
PP_F1_SD,0.23841486779100243,0.23891380970264117,0.7492247423957706,0.33217884870259196
PP_MFC_6_mean,0.15662019716857603,0.44450478424664164,0.6309415609976413,0.331732703794668
