features,slope,target,target_slope,score
DV_PHO_std Shimmer,0.18658866664033094,0.6089819708197541,0.9676817468786059,0.4798677500965865
DV_PHO_skewness Shimmer,0.4297476991651819,0.7651995457660372,0.63885605255225,0.4689062420402207
PP_MFC_10_skew,0.325758753134694,0.4546535818561861,0.9303950852238823,0.45793367165814997
PP_MFC_2_min,0.46866674359120886,0.3548975766356783,0.9123962397356579,0.45617661479785865
PP_MFC_5_skew,0.18414478159675426,0.5103053519445523,0.9600198103137567,0.452411237399616
PP_JIT_M_rap,0.5225018894160424,0.6495312484222269,0.5981820009153681,0.4463377902633756
DV_PHO_skewness DDF0,0.5835285822111282,0.3703587168145677,0.7654649443063137,0.4389348789377617
PP_JIT_M_ppq5,0.6270039626514228,0.6504601319192205,0.49337983602716484,0.4360297763182391
PP_MFC_4_skew,0.09840857521721989,0.4449652691150582,1.0,0.4309230323222085
PP_MFC_11_sd,0.7799119505807665,0.45844013190628163,0.5022355271856002,0.4212630812484037
DV_PHO_std logE,0.4105982041976244,0.3003333617258366,0.8798955697882334,0.421171652207454
PP_MFC_8_skew,0.36511990407887984,0.2944911968954847,0.9126981989081959,0.42045623971210594
PP_MFC_8_kurt,0.23515915517424055,0.4363630966748209,0.8726924304830148,0.4179303343484577
DV_PHO_kurtosis Shimmer,0.4752964252877188,0.5377453721020671,0.6084911495682794,0.41204297295354436
DV_PHO_avg Shimmer,0.29537143461574883,0.7070146470642789,0.5717155568603592,0.4073426157473272
PP_CPP_M,0.32467283973152267,0.7203454291405711,0.540053370870282,0.4070369364925319
PP_MFC_7_sd,0.21771708436374654,0.5191774929483638,0.7725730658324002,0.4051097098595603
PP_MFC_7_kurt,0.30419367987219637,0.2628940103082096,0.9118138899815917,0.4001064055459692
DV_PHO_avg logE,0.4381569718566026,0.5054507307927034,0.5107550153899056,0.36722058168646804
PP_CPP_M2,0.3770174558522805,0.6955066844334045,0.3922860832387542,0.3669659872504335
PP_MFC_11_skew,0.4587779182256289,0.3583604940881332,0.6169961729614688,0.3664445590555997
PP_MFC_1_kurt,0.2720496991159998,0.3801307790800352,0.7214725939263654,0.3658844127711184
PP_F2_MED,0.5871733333763967,0.17586296826485506,0.6810587666210766,0.36571803872781605
PP_MFC_12_min,0.3930204601142805,0.30602635065607997,0.6988375789098124,0.36476195335981976
PP_MFC_4_min,0.1300334168413879,0.27808288240305834,0.8913367841954161,0.36292843922766693
PP_MFC_9_max,0.13610762499601647,0.657629507903651,0.550256453226879,0.3567058379431798
PP_SHI_apq11,0.3415733710606486,0.011650081890561723,0.9395906645093911,0.3531043940375874
DV_PHO_avg apq,0.26807004950193836,0.48900590329649085,0.5864743363145726,0.3518077866188821
PP_MFC_2_skew,0.23682794030269994,0.14370381328356494,0.8780612675974314,0.3467099216606606
PP_MFC_1_max,0.2553357748439294,0.3532269798242322,0.6891681248043355,0.34612433736614456
PP_MFC_7_min,0.4539737405046519,0.8097533456700216,0.1570774614641311,0.3403563229576751
PP_MFC_3_kurt,0.2142295090667184,0.38907245756606434,0.6668633917645275,0.34017303373421803
DV_PHO_kurtosis DDF0,0.5108961261206264,0.4432155146827379,0.41775706011425406,0.338310221929086
