features,slope,target,target_slope,score
DV_GLO_global skewness std H1H2,0.7549151657557692,0.5069833453741187,0.8508575293710985,0.5329861283060131
DV_GLO_global kurtosis avg HRF,0.5856784317500213,0.5914973067806997,0.7371462100065841,0.48615387604715443
PP_HNR,0.15456586795300062,0.5678565889745921,1.0,0.47287732083424816
DV_GLO_global skewness avg H1H2,0.8690723720064452,0.3205863759276712,0.7294450298170717,0.4727945773283284
DV_GLO_global kurtosis avg H1H2,0.7677339222040757,0.3136004943177602,0.7563783337275968,0.45886040813853424
DV_PHO_kurtosis logE,0.5326889943439638,0.36465027397320793,0.8633271727923787,0.4566985191998083
DV_GLO_global skewness avg HRF,0.42287767587076447,0.3390833671817784,0.8701417948778047,0.4303889154329389
DV_PHO_kurtosis apq,0.3318801011302576,0.46503286324654,0.8040468717946464,0.42384829757608045
DV_PHO_skewness apq,0.501873333082486,0.34750139665951735,0.7787680789391354,0.42088043946311715
DV_PHO_skewness DDF0,0.2735102568873059,0.5454953550558084,0.7527354140625607,0.4168965143601815
DV_GLO_global kurtosis std HRF,0.6449217072729371,0.3013574117962077,0.6911250295324858,0.41166120326338507
DV_GLO_global kurtosis std H1H2,0.3744594475745326,0.3846226579338652,0.7738364715673132,0.4031984954685668
DV_GLO_global skewness std HRF,0.5669290051121708,0.32568913492806695,0.6597556117708251,0.3927347682856984
DV_GLO_global std std H1H2,0.22794160588965862,0.3026089771920695,0.861020988811985,0.3795468621195446
DV_PHO_avg DF0,0.24532440293172467,0.3495366300812181,0.7659568203992785,0.366236084226433
PP_CPP_M,0.08050899697438632,0.10478002516888796,0.950658531641459,0.32749436517953695
DV_GLO_global avg avg HRF,0.6347449312327461,0.27596984553099335,0.4204950795789059,0.32208997150296936
DV_PHO_avg DDF0,0.28643842531159347,0.6099916410626272,0.33849053014247754,0.3113327543707187
DV_GLO_global std avg H1H2,0.29007640938729445,0.1441168773155284,0.7094397066984431,0.30687641321587394
DV_PHO_std DF0,0.05148600585343717,0.1492361290970237,0.8405470411858018,0.2997703458006839
DV_GLO_global avg std NAQ,0.19546143485665032,0.34198832201887985,0.5731513038316579,0.2965347586255474
DV_GLO_global skewness std QOQ,0.3082313198615822,0.4350724284913028,0.41458536046121824,0.2947899792335076
DV_GLO_global avg std HRF,0.43505555689011477,0.3798026931702186,0.3647707903689094,0.2913930217812504
DV_GLO_global std avg QOQ,0.560035011334904,0.26457451637070556,0.3713379033351029,0.2895520023601881
DV_GLO_global std avg HRF,0.5572320388550175,0.2508860469119999,0.37230941448841137,0.2858607438455269
PP_LHR,0.21511219669440027,0.2615784800507139,0.5714994360313589,0.27986689016096616
PP_GF1_SD,0.2762020309285411,0.1369978776361927,0.632758105759566,0.2793173073226262
DV_GLO_global std std HRF,0.4756829066901485,0.24700966623966836,0.39832773508876257,0.27638731842457553
DV_PHO_kurtosis Shimmer,0.21108167300327002,0.02197107204199152,0.7504517684968144,0.2728446331601962
DV_PHO_skewness DF0,0.4242451785873534,0.07454113891899544,0.5638625887542399,0.2726430970734915
PP_CPP_SD_M,0.14107314401279902,0.08070926199767207,0.7333732487325926,0.2684039189217556
DV_GLO_global std avg NAQ,0.1943056252936389,0.18409397750021092,0.5997076846769728,0.26479692483687234
DV_PHO_skewness Shimmer,0.18596985964691876,0.02364642989730462,0.7260481696362112,0.2609200302945732
DV_GLO_global kurtosis avg NAQ,0.3777566134313962,0.10468379548909325,0.5299586599433759,0.26070986954156533
