features,slope,target,target_slope,score
PP_GF5_SD,0.42749816955759484,0.5417949549921272,0.9575954125126726,0.5082269964133526
PP_F5_SD,0.4265241250519421,0.5111949389034504,0.9443942817907707,0.4964218442734822
DV_PHO_skewness DF0,0.26975592433005857,0.6390177782243107,0.8994353580419309,0.4835362368346686
DV_GLO_global skewness avg HRF,0.36178079923796924,0.6790340371650526,0.7838830468352532,0.477279583189433
PP_F3_MEA,0.15684086664807811,0.6774099676899592,0.920151430835351,0.4767660945027107
PP_GF3_MEA,0.20350417669787974,0.686826941772527,0.8646034913094012,0.4717886181755281
DV_GLO_global avg avg HRF,0.5873987208356615,0.4254451184430346,0.8219112124922009,0.4704143875255512
PP_LHR,0.26715162184632263,0.6194780736756381,0.8393362373854585,0.4601007140038116
DV_PHO_skewness Shimmer,0.5078974075337287,0.4660106497234466,0.7703810072887552,0.44919644612423393
PP_GF3_SD,0.3524868193552003,0.3987111816370171,0.9264745368377627,0.4481175203316231
DV_PHO_kurtosis Shimmer,0.5198017772337961,0.3999375829368861,0.7471913962609855,0.4281021700592764
DV_GLO_global avg std QOQ,0.23062759033053742,0.2733812768858447,1.0,0.4144708372875686
DV_GLO_global kurtosis std H1H2,0.3846434465264867,0.16961386909953244,0.9284444296735854,0.3978654854822561
PP_GF4_MEA,0.1634050259018684,0.3207756966267952,0.92236508352351,0.3895844543941255
DV_GLO_global kurtosis avg H1H2,0.47030100628383587,0.2143612535481618,0.7838225888483368,0.38279729129830864
DV_GLO_global skewness avg QOQ,0.3732657449815165,0.3287628125651793,0.7494581514750989,0.3816812975801278
DV_GLO_global avg avg QOQ,0.0161138021384892,0.6575666018978105,0.7012858633786286,0.37800016991573904
DV_GLO_global kurtosis avg HRF,0.3421266057440669,0.17765281104233538,0.8835885522763826,0.377915089592312
DV_PHO_std logE,0.49829528264280926,0.16120654677905938,0.737381382864692,0.36117510808273434
DV_GLO_global kurtosis avg NAQ,0.3130192213256421,0.3563784233233239,0.6740092543363789,0.35390122639687305
DV_GLO_global skewness avg H1H2,0.46965919395980266,0.24708833316388068,0.6239265862181208,0.342881897948367
PP_GF4_SD,0.34533473605238163,0.0,0.9104460850057985,0.3422007727122159
DV_GLO_global kurtosis std HRF,0.34217286593797336,0.12958349325897864,0.8039478914224558,0.34201481392907607
PP_GF3_MED,0.09759092833747997,0.4194443993315168,0.7209517773367301,0.3406648187013942
PP_F0_SD,0.0,0.6097616477963111,0.6261786091011644,0.3402939946794271
DV_GLO_global skewness std HRF,0.43337391720599505,0.18344124126842906,0.6771473635527828,0.3356793028241411
DV_PHO_avg apq,0.2881256194981779,0.28249777672531534,0.6902784943843041,0.3353331163962556
PP_GF5_MEA,0.33150796048941195,0.3701402966120874,0.579449509407612,0.3326715190731878
DV_GLO_global std std QOQ,0.3169848794028709,0.1446278640330644,0.7701111692380636,0.3305872926602593
DV_GLO_global avg std H1H2,0.40583074227093024,0.3916923147275549,0.4980122275550502,0.32849289540258986
PP_GF2_MEA,0.1784091573922421,0.1373159701357108,0.8555557513383079,0.32667754941386845
DV_GLO_global kurtosis avg QOQ,0.36901747485903497,0.1493832168935685,0.7039986556737813,0.3223488958973335
DV_GLO_global avg var GCI,0.094640170534537,0.1529853694542286,0.882078416000483,0.3217979012706095
DV_PHO_kurtosis DDF0,0.1891854612783932,0.13085325823085686,0.830078935961943,0.31957408760197575
DV_GLO_global avg std NAQ,0.10349889176867796,0.11993003843895111,0.8897663680673852,0.3176121983836889
PP_SHI_local,0.24681976745006093,0.03584092207453392,0.8594189641684191,0.31614987325917143
PP_GF1_SD,0.2174308778728981,0.05117690761988324,0.8590046183638929,0.31398178798871823
PP_GF1_MEA,0.1983963125416019,0.04786276164854079,0.8649626275217889,0.3111337411769922
PP_F1_MEA,0.1530512418559612,0.03378114954863541,0.892868692825576,0.3069161436060239
DV_GLO_global skewness std H1H2,0.10114080912469413,0.15751294392715565,0.8175169811914842,0.30486149216417296
PP_F2_MEA,0.1662165464473245,0.1279488315349536,0.7981404381844941,0.3046726486285515
DV_GLO_global skewness var GCI,0.20092746238840864,0.2805968043769081,0.6475832482748867,0.3046096680543747
DV_GLO_global kurtosis var GCI,0.03804157405570153,0.15440761908845135,0.8563767511972314,0.3031232449424226
PP_GF2_SD,0.2958709759896986,0.013854336174247901,0.7900460478106868,0.2996515935847077
PP_GF4_MED,0.05658805630927975,0.4106019605979689,0.6180834802515099,0.2993931454868012
DV_GLO_global kurtosis std QOQ,0.19855495294433223,0.041709448166479986,0.8305645493095611,0.29930771742335477
PP_SHI_apq11,0.16366513090576698,0.1333870954148062,0.7647644743032567,0.2955091423258319
DV_GLO_global std avg QOQ,0.3285063734709257,0.01538198466965218,0.7400951823505892,0.29157532556677496
DV_GLO_global skewness std NAQ,0.1358791064493353,0.24267631634673176,0.6785454111584385,0.29140852372408155
DV_GLO_global std var GCI,0.04065610158340839,0.10598258772744555,0.8488920465900045,0.2892944812255444
DV_GLO_global std avg HRF,0.5453475293230327,0.4916479810784696,0.18290664205112178,0.2868534937495605
PP_LHR_M,0.28564852549532926,0.20870552515617,0.586999607239554,0.2854059685599746
DV_PHO_std Shimmer,0.23010355496849474,0.3151149909110765,0.5339338083224668,0.2849796012182081
PP_F3_MED,0.11378012170406392,0.5939957559613104,0.36527965746661367,0.2808388605711245
DV_GLO_global avg std HRF,0.5319684272842101,0.5161161002669851,0.1387774661108321,0.27705595035683794
DV_PHO_std apq,0.2651985984059181,0.00011093587915441766,0.7320463892077217,0.2726813704132887
DV_GLO_global std std HRF,0.5167155454982146,0.48911859910096434,0.1490909715207267,0.27035005033110204
DV_PHO_avg Shimmer,0.27575212629003165,0.36006460248769667,0.40346962114558665,0.2662074622236065
DV_GLO_global skewness std QOQ,0.25161232889449764,0.0034337994382645336,0.7126288897107564,0.26496958255169256
DV_PHO_avg DF0,0.1260369040338448,0.40528707375814443,0.4565591693584821,0.26349690005384974
PP_JIT_ppq5,0.20893311676110357,0.20293211221093824,0.5607893922141395,0.26075646906919714
PP_JIT_local,0.21384370273235453,0.2755729128564969,0.4952619058276099,0.2602405405088781
PP_CPP_SD_M,0.16796158114839005,0.28135218590760425,0.5188611160997392,0.2595886975365008
DV_GLO_global std avg H1H2,0.4505516671677741,0.2752560455195466,0.3307150902480608,0.2581388718878597
PP_JIT_rap,0.24362723174410164,0.2024195666876398,0.5206375004412737,0.2555215881531124
DV_PHO_kurtosis DF0,0.2091788026024947,0.019192506863094653,0.6556044755011063,0.2433152298866045
PP_HNR,0.2205195500264316,0.5542875742166131,0.17086663390966192,0.2339357937323382
DV_PHO_kurtosis apq,0.17580678174251624,0.03236726772095949,0.629141578171963,0.23199564673033202
DV_PHO_skewness apq,0.24931027407168047,0.108213467252241,0.516809685633999,0.23195832731759602
PP_SHI_M_apq11,0.0366053807615369,0.0644953487599978,0.6767554472027891,0.22647154750314358
PP_JIT_abs,0.17110392569652402,0.2986277676626991,0.3908855518224521,0.2261433926017152
DV_PHO_skewness logE,0.2203256194987681,0.12579079805118934,0.4818324611163241,0.2200625617474482
PP_SHI_M_local,0.07828111391118345,0.002253984148486274,0.6697344432850163,0.21714005180486315
DV_PHO_avg Jitter,0.014479605835767937,0.029364310289568558,0.6784456969918459,0.21377070783709948
PP_F0,0.00037590195259224374,0.4221853931269602,0.33534030066751014,0.20622361887251153
DV_PHO_skewness Jitter,0.2851243753443242,0.06093927198468628,0.44250245712509806,0.20501043020256582
DV_GLO_global skewness avg NAQ,0.33650833345332004,0.32297236419572584,0.18105395913201444,0.2023609454791998
DV_PHO_kurtosis Jitter,0.23488491417110752,0.05233084178149473,0.4524721034359417,0.19580132431037767
DV_GLO_global avg avg H1H2,0.3303947349251893,0.4544105156317425,0.04623511562012528,0.19355211057901106
PP_GF2_MED,0.18299856161226685,0.11078433312041967,0.4261383283225773,0.19213729409933145
PP_CPP_M,0.1483823298949646,0.1691770600940801,0.3619956607517674,0.18056942922804317
DV_GLO_global std std NAQ,0.11403115360526829,0.056371657297967843,0.4735237093445497,0.1789562578489105
DV_GLO_global kurtosis std NAQ,0.1654889577658982,0.17728514229511336,0.3355282769661847,0.17807756021681337
