features,slope,target,target_slope,score
DV_GLO_global skewness std HRF,0.3510930587381434,0.7568548567098667,0.7797737057548869,0.4933644376515614
DV_GLO_global kurtosis std HRF,0.3474083843171632,0.7338841518763798,0.689592778194525,0.4598305482908851
DV_PHO_std logE,0.33406744810738065,0.2846906599633036,1.0,0.43798615461230206
DV_PHO_skewness logE,0.18931941858327053,0.41414798350193816,0.9771668719779794,0.43455094118553245
PP_LHR_M,0.28394550144504155,0.5741007400184123,0.7569287759414494,0.4273929180760462
DV_PHO_kurtosis apq,0.6900085692144576,0.30888843608062927,0.6858620979910856,0.42098245226037456
DV_GLO_global kurtosis avg HRF,0.3468893181819621,0.6267561774346344,0.6288795707090451,0.4147307792077646
PP_LHR,0.23742844637020036,0.7403162107755562,0.5868307841837181,0.40861397722304454
DV_GLO_global std avg QOQ,0.33995067130535533,0.42018766283626013,0.7628876642642246,0.4019033492494035
DV_GLO_global avg std H1H2,0.32182733559183063,0.3582090777097488,0.8206371475268325,0.40010888080385304
DV_PHO_skewness apq,0.6817396154865971,0.2312144981856042,0.6598309219094051,0.392100824216542
DV_GLO_global avg var GCI,0.28229125887481493,0.2956629017151144,0.8322118428447621,0.3800375300571702
PP_GF4_SD,0.43055850909123083,0.5134182419135069,0.5196237694364314,0.37035339312755233
DV_GLO_global avg avg QOQ,0.0021239374869732913,0.30088541052418083,0.9756987680829713,0.36835577055333124
PP_F4_SD,0.5303458076863632,0.5068519457884181,0.4494632791441485,0.3676211317276217
DV_GLO_global std std H1H2,0.39827907489217584,0.21742951301842883,0.7723171116752804,0.3657083267356265
DV_GLO_global skewness std NAQ,0.1422754066951013,0.35636863972323396,0.8099385947441631,0.36052881969307765
DV_GLO_global skewness avg NAQ,0.5176094187223895,0.17341565667714334,0.7092481879478901,0.3596502542981308
DV_GLO_global avg std QOQ,0.30315519024094817,0.09482501375299399,0.9164915959914076,0.3592847702838604
DV_GLO_global std avg H1H2,0.5193226859072908,0.16714716773331958,0.6868134654314177,0.35169536874421337
PP_JIT_abs,0.09429797203993141,0.37980452716454083,0.7889864636767477,0.3505066653021458
PP_JIT_local,0.1259771722036786,0.37473718491898694,0.7669814512231437,0.34897416603742554
PP_GF1_SD,0.3270079439284657,0.4624179006564981,0.5452529512174632,0.3445819493150566
PP_SHI_M_apq11,0.133310580089486,0.6689363633643565,0.497039130744116,0.34300794608222107
PP_SHI_M_local,0.15300312141790906,0.7156677811780037,0.4431680327326449,0.3424679793978762
DV_PHO_avg apq,0.20506143726250967,0.48150240572844133,0.5685138926354469,0.33194205667524634
DV_GLO_global std std QOQ,0.11884196499769768,0.15361676916149028,0.8940241621950997,0.330379833948442
DV_PHO_std apq,0.1887788887065122,0.17219076589761406,0.8248260201656181,0.3282512752653914
DV_GLO_global std std NAQ,0.1513362064600165,0.09852143291472765,0.9089956496278913,0.3275962944090526
DV_GLO_global skewness std H1H2,0.20298749353100953,0.21999140093936598,0.7319502336092044,0.3151804190238047
DV_GLO_global avg std NAQ,0.11986607108852135,0.3125773720687175,0.7086961500672239,0.3147264022550508
PP_F0_SD_M,0.023326203033025326,0.09319733704610984,0.9475036709958128,0.31221567616687634
PP_HNR_M,0.27655986261851473,0.4169187184510211,0.506084871598543,0.3113671136160211
PP_HNR,0.26169097904267563,0.4174826482875478,0.5139372841514612,0.31089004312586044
DV_GLO_global kurtosis avg QOQ,0.18240830218817009,0.2907144865205813,0.6432838570584196,0.30214543918530523
PP_GF1_MEA,0.1907018269151332,0.5395744492742068,0.41335568635129294,0.2970406836069662
PP_JIT_M_local,0.1320621227879983,0.0632043824216998,0.8470741605918093,0.29633576834056735
PP_SHI_local,0.22313276366430748,0.7214315953504905,0.21413221923196077,0.28922411734007236
DV_GLO_global kurtosis avg NAQ,0.6675092633764473,0.2534077094976665,0.3028650361592517,0.2877132908974816
PP_GF3_MED,0.32010764152938775,0.4258754831815853,0.34196236704378247,0.27307910921440864
DV_GLO_global kurtosis std H1H2,0.15194528276110597,0.21270251413359184,0.6193946768994745,0.2693830881554615
DV_GLO_global kurtosis std QOQ,0.02067247767404993,0.03691137283311681,0.8523613623069577,0.26907074743517645
PP_GF4_MED,0.251537529823831,0.39946553810480656,0.38665256543052173,0.2661696601201244
DV_GLO_global kurtosis avg H1H2,0.6649151091136812,0.36462260383781675,0.12971658819197962,0.2630536492397843
DV_GLO_global std var GCI,0.2703469582136088,0.1157206711014055,0.5778645015929367,0.25635890989595417
PP_GF3_SD,0.2811951275030262,0.08690835522144175,0.5883030941394487,0.25445704254780027
PP_GF3_MEA,0.2825911881790009,0.41726816934327354,0.30106066154576944,0.2511534784353494
DV_PHO_kurtosis DDF0,0.11330336216705167,0.09451083742516601,0.6788730611495721,0.24995030013457348
DV_PHO_avg DDF0,0.46519691995443796,0.33546439913905624,0.22831500485393005,0.24539998523183065
DV_PHO_skewness DDF0,0.35000728624581223,0.40435696630438345,0.24080827194232632,0.24333318040795618
PP_F0_SD,0.22209013871658548,0.47799268133741,0.26059730312606155,0.24209538901548805
DV_PHO_avg Shimmer,0.35533349706686046,0.43275374500135155,0.20847509208421655,0.24179766328897495
PP_GF2_SD,0.355922524211343,0.17912247625214975,0.4120430452329646,0.23957803747519543
DV_GLO_global skewness avg QOQ,0.2215075976123739,0.28876680163335205,0.40907678168181244,0.23921625443535652
DV_GLO_global skewness avg H1H2,0.4799051548231013,0.2560777972152093,0.26266868087271183,0.23880108453023613
DV_PHO_skewness DF0,0.3868133784814749,0.3356181715573862,0.25327326933799954,0.23724919938704137
PP_GF4_MEA,0.252830976808813,0.3583409596851774,0.2994165066323959,0.22997638727277572
DV_PHO_skewness Shimmer,0.3641350037238352,0.13957092898969464,0.3864455064146593,0.22365338491658848
PP_GF5_SD,0.3032987068412725,0.17810848418117423,0.3484864974110789,0.20973281163687174
DV_PHO_std DF0,0.13579040828428293,0.31393746707417985,0.33132056416070566,0.20503861767361325
PP_F0,0.0,0.16288989912161733,0.5441231745239267,0.20395942713758233
DV_PHO_std Shimmer,0.23202881353814642,0.5316447487102517,0.07996175337316701,0.2033054758971423
DV_PHO_std Jitter,0.16591720352281653,0.3494924512949129,0.2753836556627087,0.20317165022710415
DV_PHO_kurtosis Jitter,0.14086743288331108,0.33835610969421315,0.2976670283153464,0.20206262249481943
DV_PHO_avg ppq,0.30980392644935567,0.26057077593702443,0.24210434447228746,0.19973478261581346
PP_CPP_SD_M,0.20931720075588156,0.45165718706839153,0.149075677113622,0.1995004400523608
DV_GLO_global skewness var GCI,0.3111222651135545,0.2549798764900296,0.24326645291118837,0.19894935801857483
DV_PHO_avg Jitter,0.2932672169698631,0.28691921145299887,0.21975885867686598,0.19631090386028213
DV_GLO_global skewness std QOQ,0.11348552716628899,0.00978981064605047,0.5670625517842373,0.1952633236300416
DV_PHO_kurtosis DF0,0.07407175648537025,0.2760688305370863,0.3617769439346966,0.1923646421117546
DV_GLO_global std avg NAQ,0.1869868197497635,0.026644052889798667,0.49032126584360175,0.1911547569254829
PP_GF1_MED,0.19713966246679285,0.0732916561414267,0.4442245295815229,0.1910182054031721
DV_PHO_skewness Jitter,0.18856469596165765,0.3196651407366024,0.2377240563048466,0.1889464412679361
DV_PHO_skewness ppq,0.3067478708568511,0.1241772465877407,0.3187026910126895,0.18800469312211227
DV_PHO_kurtosis Shimmer,0.30564835528630074,0.13311971830754174,0.30684022128787897,0.18646166702050926
DV_PHO_avg logE,0.3797809613891947,0.18733678668658035,0.20551330420969718,0.1844443802123932
PP_GF2_MED,0.19491694758915643,0.09065055097964377,0.40672544912771985,0.18366366200105816
DV_PHO_std ppq,0.241084501440803,0.20240404783088173,0.27889879535255785,0.18248755085164842
PP_GF2_MEA,0.30331689320381383,0.061702838052379465,0.34028172777999804,0.17817360648785704
PP_F5_SD,0.39944841825630034,0.0,0.3067438110040069,0.17191282695246213
DV_GLO_global kurtosis var GCI,0.2980602037123091,0.1912003191840626,0.184966075826328,0.1629019432863759
PP_CPP_M,0.1363723343414285,0.23790237990662738,0.2525988003040393,0.16252970193615435
DV_GLO_global std avg HRF,0.1839731534609403,0.320649983116384,0.1244344897844724,0.1542874734066258
DV_PHO_kurtosis ppq,0.25146732440673397,0.0883201876590135,0.2700728201608089,0.15339535784434283
DV_GLO_global avg avg H1H2,0.17178353479653707,0.09086490447412261,0.3110339651863029,0.15038312263372894
DV_GLO_global avg avg HRF,0.2975321170239136,0.22975866545968537,0.07915161469103191,0.1406915741770136
DV_PHO_avg DF0,0.46816835382091193,0.004818474877235353,0.1387777854771956,0.1364716251266499
DV_GLO_global std std HRF,0.16793288611976775,0.29575933464253557,0.09633644705343378,0.1364273450006176
PP_GF5_MEA,0.06980417020478749,0.4826400116223245,0.0,0.13462083694653862
DV_GLO_global skewness avg HRF,0.49476283995787845,0.010044709519974087,0.10571499897488218,0.1331782450640339
DV_GLO_global avg std HRF,0.13362208222920915,0.1982631448748427,0.1655898936629353,0.1259671707634331
DV_GLO_global kurtosis std NAQ,0.15585721303327185,0.03499185749567128,0.2860668581913758,0.12573946443798495
DV_GLO_global avg avg NAQ,0.11622862677994439,0.20451169927412097,0.10705690492028856,0.10649072165060569
DV_PHO_kurtosis logE,0.1545942922101131,0.08012512395107808,0.1759901847129461,0.10374719484367598
