features,slope,target,target_slope,score
DV_PHO_std apq,0.16133034774912036,0.22049333623412498,0.9563765579610094,0.3743023709966581
DV_PHO_skewness DF0,0.16935399075360769,0.17229102656567177,0.922027831330062,0.3535519041911581
DV_PHO_avg DF0,0.1733566699240705,0.11137855349285965,0.9627762491863355,0.35134884711392966
PP_GF1_SD,0.10479096971946952,0.11507017524170796,1.0,0.34972573775432086
DV_GLO_global avg avg NAQ,0.0629189319982538,0.18987052614139838,0.9154800264286288,0.33469542586358897
DV_PHO_avg apq,0.1478357122786639,0.09256865449002279,0.9182967887546227,0.3281983427046253
PP_F0,0.0,0.21265690537466816,0.9026361525692294,0.3239550721144358
PP_GF3_SD,0.12065475808002145,0.12429199901352815,0.8248726218684456,0.30266573792992
DV_PHO_skewness logE,0.11163347160063192,0.23578741222024252,0.7328753431476983,0.3011361503194965
PP_GF5_MEA,0.11612357354449716,0.15699188328881483,0.7948444231308365,0.30092601247035405
DV_GLO_global kurtosis avg H1H2,0.13619727329607495,0.1491761977209552,0.7694847475264246,0.29537892834738116
PP_GF4_SD,0.1048223704185719,0.05776338820934771,0.8448905755239084,0.28887249379322383
DV_GLO_global kurtosis std HRF,0.1672034391001137,0.028342846345849722,0.8034032896336494,0.28154738629657994
DV_PHO_std logE,0.13585340217235042,0.08629304842091595,0.7664712890950792,0.27868532926822287
DV_GLO_global std avg H1H2,0.13769276006124306,0.12137201023520923,0.7279909169862403,0.276278829666923
DV_GLO_global skewness std HRF,0.16071709585015087,0.028393326572525746,0.7842701662977166,0.2745228007024766
DV_PHO_std ppq,0.15686188206935128,0.07165621121500855,0.730089321020796,0.2683132255238612
DV_GLO_global std std NAQ,0.16297141228522155,0.09535254420299545,0.7010337015122343,0.26674252896146344
DV_PHO_avg Jitter,0.19402806777681395,0.10346805043148302,0.6651089230655475,0.2642053030828978
DV_GLO_global avg std NAQ,0.07898757600715484,0.08821878207214734,0.7537463941190777,0.2639761289551911
DV_GLO_global kurtosis avg HRF,0.13955943509901236,0.02143419375729668,0.7619681210545738,0.26186087177549877
PP_CPP_SD_M,0.03353154636708878,0.04391684923624527,0.7858499561868089,0.2534405084385217
DV_PHO_avg ppq,0.16377145312335242,0.09636244257331715,0.6421182452837634,0.2494803748531288
DV_PHO_kurtosis logE,0.08589788573355829,0.09905195383684724,0.6836472963492788,0.24703675451070709
PP_SHI_apq11,0.15391607713799646,0.019952712521894886,0.6974135680632098,0.24499546397703595
DV_PHO_std Jitter,0.1328255711694318,0.06599232871021987,0.6638798119380489,0.242227139992856
PP_SHI_local,0.17611638818433564,0.013873555727453817,0.6752953212877041,0.2412802629550418
PP_F5_MED,0.035117716305349,0.06658832010507225,0.7209999893090348,0.23997062008004827
DV_PHO_avg Shimmer,0.07485802020564468,0.03154965916103953,0.7203048196862816,0.2389504647372733
DV_GLO_global std std H1H2,0.10583897950066744,0.05338594083377744,0.6685265887677249,0.2350722577388953
DV_GLO_global skewness std NAQ,0.1155103626458694,0.11140467843854597,0.5915825519065581,0.22842800771077781
DV_GLO_global kurtosis avg NAQ,0.09657649271704408,0.05364987914589337,0.6476736302360069,0.22702985740068424
PP_F5_MEA,0.0422024033628029,0.10269711811898904,0.6408791839655636,0.22637851539197695
DV_GLO_global std avg NAQ,0.1353516501762008,0.028676494219151333,0.6315063320187987,0.2236913531956676
PP_SHI_M_apq11,0.12965653680309777,0.03846699042226877,0.6157975249984621,0.22028731246572536
PP_HNR_M,0.06090519321596545,0.012325399132956168,0.6814260364033911,0.21969019934744943
PP_GF2_SD,0.07484294150367218,0.10658566714902491,0.5863362125442663,0.21751586885127056
PP_SHI_M_local,0.15763206708600325,0.0,0.6029263501818035,0.21240431847174168
DV_PHO_skewness Jitter,0.12779808963417444,0.07357187901223035,0.5591100457063997,0.21168560139181236
DV_GLO_global avg avg QOQ,0.0699004397405013,0.0665269757856271,0.5823586525974375,0.20531942767373826
DV_GLO_global skewness avg QOQ,0.06550390360947109,0.08576386574750694,0.5618845126480443,0.20310710095318424
DV_GLO_global skewness avg HRF,0.13257862374514454,0.18989298108866445,0.42563188446081207,0.20167853535943864
DV_PHO_skewness ppq,0.18159905783843294,0.05543289251442749,0.5044510810235001,0.2015133590033435
DV_PHO_kurtosis Shimmer,0.12998213508482975,0.11219181944504687,0.4857560376022372,0.1997711931588988
DV_PHO_kurtosis Jitter,0.1426537124178837,0.08562289665224994,0.49797366909495533,0.19932856737512583
PP_HNR,0.08617187065992549,0.05252466346585784,0.5628352976016394,0.1992161292789414
DV_GLO_global skewness avg H1H2,0.1573964154185394,0.0120218950370856,0.5378623555241139,0.19584346350021342
DV_GLO_global skewness std H1H2,0.15236144085537734,0.0824061377373619,0.4784256909483024,0.19460152988990664
DV_PHO_std Shimmer,0.09450145449882183,0.004004650717258603,0.5782054141181152,0.1933630778145136
DV_GLO_global skewness var GCI,0.1381372537161479,0.25698377736498007,0.3382486501027452,0.19334799011529816
DV_GLO_global kurtosis var GCI,0.14267919065098428,0.264423303614441,0.32655256524852483,0.19260743360836458
PP_LHR,0.17500645625277453,0.01258578424933434,0.5120484161453268,0.1917622621564865
DV_PHO_std DF0,0.09302307778201566,0.03930638274653217,0.5365835732680058,0.18940628322343792
DV_GLO_global std avg QOQ,0.13946673711664379,0.02738170987638285,0.5114985624343507,0.18818834362272965
DV_GLO_global kurtosis std NAQ,0.08669466011864384,0.00816366302938954,0.5614651125077573,0.18781938153340336
DV_GLO_global avg std QOQ,0.08281305758022087,0.036523325896399124,0.5336192579153503,0.18577922036474903
PP_GF1_MED,0.13362568558265558,0.14956156755585068,0.3855998332457414,0.17979547897921622
PP_LHR_M,0.13402345170229543,0.030590333105041265,0.4838876250606404,0.17961856113491154
DV_PHO_kurtosis ppq,0.19366353290762636,0.022914019198383404,0.4451338244870802,0.1780013587272452
DV_GLO_global avg std H1H2,0.10091623345735742,0.06723172448832547,0.4677935650608569,0.1773292473318099
DV_PHO_kurtosis DF0,0.14195452678300324,0.05355046923639924,0.450381679652266,0.17689302656138026
DV_GLO_global avg var GCI,0.07105743735691386,0.03391506864374084,0.5113457875761945,0.17609399090517636
PP_GF2_MEA,0.05364610107254962,0.033531066801408375,0.5192240429668296,0.17487919980491087
DV_PHO_skewness Shimmer,0.1117923020366994,0.08623084104974674,0.4359471241046573,0.17470030790117375
PP_GF2_MED,0.06523868361310964,0.06138541468159968,0.48585199415899,0.17414968864071884
PP_GF4_MED,0.10091735480766842,0.0775156297780962,0.4469244565254439,0.17363971536369088
DV_GLO_global skewness avg NAQ,0.1351613978038554,0.018784942236888612,0.46000085245617217,0.16972877085684487
PP_F0_SD_M,0.02609174199783869,5.7286660300435883e-05,0.5481141620182944,0.16966691867013117
PP_GF4_MEA,0.09101303038603488,0.08778139617334933,0.42109113042661367,0.16647529424852842
DV_GLO_global std var GCI,0.12256656569655444,0.12508091813859387,0.3612293404529316,0.16415234480983884
DV_GLO_global skewness std QOQ,0.051460295612313696,0.09214640768043773,0.42440652462022616,0.16065061842864
PP_F0_SD,0.1030656305018981,0.05193413999553932,0.41652101963941196,0.15855296699108803
DV_GLO_global kurtosis std H1H2,0.16277391040544967,0.01487280734904339,0.4072380500104269,0.15844439892147885
DV_GLO_global avg avg H1H2,0.10523212392302188,0.0946343773535449,0.3787850316339078,0.15834052861316295
DV_PHO_kurtosis apq,0.11089764706182291,0.0038647289308011683,0.44277813152421935,0.15597915110233068
DV_PHO_kurtosis DDF0,0.14403524058113928,0.014492344487399599,0.41036981958572444,0.15554108011379508
DV_PHO_skewness apq,0.09203468229042282,0.0861834474572335,0.3823763216946172,0.1546656948307781
DV_PHO_avg logE,0.08294741185281836,0.004869184717832181,0.4522001637765262,0.1534668276829796
PP_GF1_MEA,0.11571348323333565,0.09866893920821093,0.35178877923102153,0.1533465652180263
DV_GLO_global kurtosis std QOQ,0.03313900085319067,0.044024670337363396,0.42690177914403366,0.1457045014981891
DV_GLO_global avg avg HRF,0.10350166582914516,0.1866181511161957,0.24913800296106348,0.142096271833197
DV_GLO_global std std QOQ,0.0538981530997618,0.04125465615895818,0.3799530314337295,0.13507920408981075
PP_JIT_M_abs,0.08366230700173621,0.0002879351437226128,0.3203937260280367,0.11292256299468889
PP_JIT_M_local,0.1017256850244353,0.01692904337584566,0.2904099265454369,0.11170037581247955
DV_GLO_global kurtosis avg QOQ,0.04772302157232235,0.020146371067785447,0.3064596067532646,0.10651907910739021
PP_JIT_abs,0.04478686965541875,0.0006769434058717148,0.3240766751533834,0.1063496123285667
PP_GF3_MEA,0.0460978769690357,0.09130789332995123,0.23265423676813468,0.10184281975673536
PP_JIT_ppq5,0.08391803759643678,0.0028248851350295874,0.27867315921045177,0.10109177656618028
DV_PHO_skewness DDF0,0.0766800465834075,0.07689442058955019,0.21119278952086112,0.09791745132032738
DV_GLO_global std avg HRF,0.02022905207140612,0.011434766111494708,0.2951882057793748,0.09546096367596735
PP_JIT_local,0.07894707104186773,0.031759848562509616,0.2370297678611981,0.09483830670736038
PP_GF5_SD,0.0708906325022149,0.00501721612677114,0.26374433168953415,0.094555730038996
DV_PHO_avg DDF0,0.08973812735154237,0.04243854857640322,0.21965025893940732,0.09445234029623148
PP_F5_SD,0.10400112551371109,0.0421224990136726,0.2070453587095884,0.09344445746903689
PP_JIT_M_ppq5,0.07887612972049693,0.007708908370810624,0.24691794726931585,0.09177783721759679
DV_GLO_global avg std HRF,0.01852753618588026,0.05786633003018696,0.237600892501356,0.08945235749512959
PP_GF3_MED,0.05011959459542934,0.05824562736956873,0.17117960326252218,0.07593920674023472
PP_CPP_M,0.046266652319155575,0.11562910055540834,0.0,0.0381606056026832
