features,slope,target,target_slope,score
DV_GLO_global avg avg H1H2,0.3187042120946459,0.8818723181104628,0.7376979103146938,0.505518295040953
DV_PHO_avg logE,0.3296559456756089,0.6147501440197558,0.8510072913533486,0.47492091254606533
DV_PHO_kurtosis ppq,0.33075305924336706,0.6073392022058991,0.7242908651131589,0.4352726719340958
PP_SHI_M_apq11,0.22549663688354593,0.6113502053686705,0.7792218196580223,0.43170342461628347
DV_PHO_skewness ppq,0.3826111160128365,0.5443749585542157,0.7136444599095151,0.42670930081397573
PP_GF2_SD,0.18702151385015942,0.5653572397204107,0.7130498199010106,0.39265855867043775
DV_GLO_global skewness avg HRF,0.3474361534358387,0.3367967579563931,0.7541279105140277,0.37992479333047435
DV_PHO_avg Shimmer,0.21884306288544372,0.5460308393166174,0.6322411785129638,0.36994867596013226
DV_GLO_global kurtosis std NAQ,0.3589810001963455,0.35705889140246605,0.6931429865642329,0.36900381885915545
PP_F3_SD,0.21018877131842756,0.25794071088648296,0.8573865935429161,0.3637389100481811
PP_GF3_SD,0.21103281154033557,0.25479934289169703,0.859217579450392,0.363671671866109
PP_GF1_MEA,0.17813593109362025,0.5042627013376324,0.6690141657915988,0.3623971112906118
PP_CPP_SD_M,0.10331463438109187,0.14534583740564663,1.0,0.35699938622763
DV_GLO_global avg avg HRF,0.20634885674841516,0.3292165982769897,0.7691830011068302,0.35432882125097953
DV_GLO_global kurtosis var GCI,0.1434277785305843,0.4786147270038043,0.6714363031680798,0.3497701284074919
DV_GLO_global kurtosis std HRF,0.2878438590152486,0.12998121430821932,0.8558472397253329,0.3468182472977044
DV_PHO_kurtosis DF0,0.3903181192300814,0.36766174876919816,0.558329051170244,0.33747777638938903
DV_GLO_global kurtosis avg HRF,0.3038515812754074,0.07337748576460679,0.859867397735508,0.3370749070168856
PP_GF1_SD,0.13307640634302592,0.2575644778616126,0.8067671566214424,0.33303654772044106
DV_GLO_global skewness std HRF,0.30698536809243177,0.06683418532992111,0.8263937606423314,0.326023748143666
PP_SHI_apq11,0.2659122907322605,0.2950318718838592,0.6614155464328619,0.3253650900472755
PP_CPP_M,0.18189951594333864,0.24958041832988398,0.7349720384273293,0.31926661929933753
DV_PHO_avg apq,0.2510049171090364,0.2278872615659307,0.698430068974106,0.31670181950552173
PP_SHI_local,0.26846322083125396,0.2739089375951133,0.6371119570953464,0.31330346569363304
DV_PHO_skewness Jitter,0.33475783411985166,0.34563401195006177,0.5215489988627094,0.3098247694702986
PP_F4_SD,0.08405024544945827,0.42475805811246764,0.6219196917457099,0.30957547114172157
PP_F1_SD,0.14053062941534322,0.16916550234016592,0.792138417028603,0.308039026576691
DV_PHO_avg ppq,0.3529449683694971,0.2011306514053748,0.6078574996814764,0.30322890642968603
