features,slope,target,target_slope,score
DV_PHO_std logE,0.403366851890108,0.6534671545231362,0.8591088651937074,0.5017728185669179
DV_PHO_avg apq,0.36675039706141066,0.5970971879847733,0.8763348326777934,0.4855248262118135
DV_GLO_global std avg H1H2,0.7608536425689573,0.3555841654506579,0.80819852782191,0.48352632822302893
DV_PHO_std apq,0.4044862171043725,0.5282442538973351,0.8679050796677001,0.4733298307955183
DV_GLO_global skewness avg QOQ,0.19504800692415877,0.7025432221701837,0.6891179418285468,0.4213807894759417
DV_PHO_skewness logE,0.14999391325295303,0.4588165849644917,0.9211166530405827,0.42103792480388835
PP_F0_SD_M,0.16041571978480745,0.5246889888339897,0.8552239046882772,0.41982256257194206
DV_GLO_global skewness avg NAQ,0.6730611156059322,0.3123379926983375,0.6876566152384752,0.4189937058673134
DV_GLO_global avg avg H1H2,0.33618861630948227,0.17968041555700834,1.0,0.41215782715114857
PP_SHI_apq11,0.3556222507239805,0.2568194848917946,0.8634457993647552,0.39436306117717135
DV_GLO_global std std H1H2,0.5003492338836596,0.32757423740635516,0.6921491924787061,0.38960816387193253
DV_PHO_std Shimmer,0.14474147768827794,0.4216840367452232,0.791699504602328,0.37187915610465977
DV_PHO_avg DF0,0.5034224024142402,0.18578293956550612,0.7266205734924642,0.36511638742196384
DV_GLO_global avg std H1H2,0.43591156062865144,0.11294334579278727,0.8257592993320849,0.3631459383735526
PP_SHI_local,0.32954662379091226,0.22489720811317018,0.7878677369248414,0.3584939478639274
PP_SHI_apq3,0.2992156146753941,0.2658800992358499,0.7536701734348832,0.3524141997745062
DV_GLO_global skewness std HRF,0.405279518326215,0.29530212372658915,0.6477174417212695,0.34919666711327113
DV_PHO_skewness DF0,0.4534301760084682,0.1691456415537372,0.7143250069681628,0.3472699476805768
PP_GF5_MED,0.05834389619516014,0.4250829150408003,0.7142983726239202,0.3322290197864082
DV_PHO_kurtosis Shimmer,0.6685084577488214,0.43730620878621845,0.28991542551350785,0.3300028714003712
DV_GLO_global std avg NAQ,0.2394679547035148,0.2187050948323536,0.7556742785441002,0.32927214821202144
PP_GF5_MEA,0.09537039191148584,0.35997605116036263,0.712800572756403,0.32290826299930875
PP_GF3_MED,0.1074723691410559,0.2919342114480866,0.7476625010474416,0.3187767770044653
DV_PHO_skewness Shimmer,0.6163583568049835,0.38201553387639536,0.3304571098818171,0.31791268779464066
DV_GLO_global kurtosis std HRF,0.18598615733947257,0.2779288423601767,0.703426730763931,0.317707461287118
PP_GF2_MED,0.007045737015559486,0.1465650549193008,0.9237586226831831,0.31517799793789203
PP_F5_MEA,0.09304286050929297,0.31164383978474886,0.7233205234054446,0.3135156890696792
DV_GLO_global kurtosis avg HRF,0.26009207574235116,0.3627957430138295,0.5585439507642329,0.31028053613119744
DV_GLO_global skewness avg HRF,0.2806465307928921,0.20294250966030697,0.6644661998427107,0.30620479352646834
DV_PHO_avg Shimmer,0.1666905015065814,0.28906580736448534,0.6434383416609896,0.2986360546407345
PP_F5_MED,0.07109496743549036,0.2153810272172287,0.7590934105976606,0.2957922734707034
PP_GF1_SD,0.1512239579283656,0.44018154167234497,0.5027033586042663,0.29110118458503925
PP_GF1_MED,0.10831373714497394,0.3386290284240362,0.613976739099756,0.29051302626493064
DV_GLO_global kurtosis std NAQ,0.536253256601446,0.6299343531930344,0.08126386231678633,0.2891133983135837
PP_GF3_MEA,0.3007099586769708,0.1779869410886485,0.6146081654018906,0.28902117662812343
PP_SHI_M_apq5,0.15127812064151766,0.18889388867710083,0.6914195140086505,0.2849049505001739
PP_GF4_MEA,0.03856849210750508,0.3787822816557134,0.5981012062529972,0.28183963071132856
DV_GLO_global avg var GCI,0.3300006583136265,0.15113393539649803,0.5904168479747516,0.28090866990427527
DV_PHO_skewness Jitter,0.47471985897875807,0.19930382928916013,0.4463829160355572,0.2786848039287088
PP_GF3_SD,0.1253489101702424,0.33838882361743106,0.535036401125153,0.27017790827595217
DV_GLO_global kurtosis avg H1H2,0.2552079667253981,0.32013805299141695,0.44452338881142556,0.26443312323636153
DV_GLO_global avg std QOQ,0.2689508727790887,0.03131267924332165,0.662567174265893,0.26038849664641606
DV_GLO_global avg avg NAQ,0.1715989171170538,0.2301603355942124,0.5598212058328723,0.25980622907182555
PP_LHR_M,0.4672356445815401,0.41912274437438635,0.1924463011061182,0.25596170534174006
DV_GLO_global avg avg QOQ,0.19679065217125083,0.4685430052719474,0.30954035468852814,0.24935598815879545
DV_PHO_avg DDF0,0.32326467538373327,0.05300326162476302,0.5473254812310114,0.24210139485224086
PP_F5_SD,0.3189353197478304,0.09434077586317893,0.5130779060149498,0.24129562971984578
PP_F3_MED,0.2025325680547977,0.22602667819718106,0.4809274312550176,0.2412914125367601
PP_LHR,0.457613868395563,0.31844790215368957,0.23273126925543106,0.24095412999416432
DV_GLO_global skewness std QOQ,0.09902815757397443,0.4720080885921289,0.3428584298300263,0.240665182611835
DV_PHO_avg Jitter,0.35195385804125223,0.24373187511499278,0.3613304624459764,0.23972287912079154
DV_PHO_std Jitter,0.3656266117912291,0.3308791085851595,0.2755799314623314,0.2385190789432351
DV_PHO_skewness apq,0.334340956562199,0.17078427876162836,0.4281547338640663,0.23801068116206675
PP_SHI_M_apq11,0.021401757981771182,0.29773353322367285,0.5278774178140128,0.2370769602464763
DV_GLO_global std avg QOQ,0.41669937022180353,0.02233282852258711,0.4888931503058163,0.23559102626675238
PP_GF2_MEA,0.11400967434043756,0.010805494316476743,0.7001763322867393,0.23555620813322847
DV_GLO_global skewness std NAQ,0.31144242532104177,0.0883529543703014,0.48723095829934615,0.23054601114658757
PP_SHI_M_local,0.08681993764666432,0.2873224210592238,0.46902179503746905,0.22990113130537954
PP_F0,0.0,0.4234825675497502,0.4029591321588915,0.226758381535105
DV_PHO_kurtosis DF0,0.40530891854107437,0.20637412362482963,0.3135676157382498,0.22672559933589723
DV_GLO_global std std HRF,0.16824397296264315,0.31514180928064817,0.3712632648860669,0.22381322637851075
DV_GLO_global avg std HRF,0.23469130642755123,0.3387245739076984,0.3020988998890327,0.22224907472914462
DV_PHO_skewness DDF0,0.2598875449949591,0.1727920404359098,0.422440848470023,0.22190777364897615
DV_GLO_global kurtosis avg NAQ,0.6069216577682431,0.2832006303093347,0.09884165373694741,0.22183698525206652
DV_PHO_kurtosis DDF0,0.350069302525978,0.18779945632307588,0.32672835506752795,0.21498223110622294
DV_GLO_global std avg HRF,0.2022333610574673,0.2692324088756371,0.3478253365087755,0.2121023753830354
DV_GLO_global std std NAQ,0.2466830919487962,0.23854328064927183,0.33786094509244247,0.21033072207980993
PP_CPP_SD_M,0.21884256514704556,0.08766464635168646,0.4685240736746431,0.20624189671972365
PP_GF5_SD,0.3048335905522417,0.006939176182727304,0.46820260373964,0.20316229327802215
DV_PHO_kurtosis apq,0.3228987188612574,0.24890880672271473,0.22533626643988044,0.19440782538489432
DV_GLO_global std var GCI,0.3348374805765236,0.218987231510678,0.2422421658131763,0.1943869537369271
PP_CPP_M,0.15423201681778587,0.2869103659635676,0.29734122257389156,0.19177636162661654
DV_PHO_std ppq,0.3137003220645505,0.276820293418963,0.1990879104917882,0.19167151091518733
DV_PHO_avg ppq,0.1821854991688246,0.23952907372954732,0.3121389348651712,0.18996104872570313
PP_GF1_MEA,0.15624833360330664,0.004880396743068999,0.5202077156140027,0.1885320805906294
DV_GLO_global skewness avg H1H2,0.33127225869597604,0.09393743797127421,0.32620052299396857,0.18759896813020432
DV_PHO_kurtosis ppq,0.3383052379382758,0.2513462236676316,0.18347409983919244,0.1855398334563208
PP_F1_MED,0.1467732942659165,0.006553023985298926,0.5016570141962537,0.18149001910838414
PP_JIT_M_local,0.4451882097713126,0.13221774020805088,0.1977012022358103,0.18140243767701836
DV_PHO_kurtosis logE,0.08812963998648186,0.4643447560114584,0.1531767355953343,0.17966513767876124
PP_HNR_M,0.1663303833905818,0.16306099119679932,0.33747667535678466,0.1752743270843516
PP_F0_SD,0.28439217899041475,0.07995014820363865,0.3276688024713432,0.1751666135903956
PP_JIT_M_abs,0.3551562320268352,0.11880984357741291,0.24275433636784913,0.173560008210075
DV_GLO_global skewness var GCI,0.3864286961740073,0.12196596603633739,0.18724329997856282,0.16395022073745466
DV_PHO_avg logE,0.33449216102137797,0.11478141168011659,0.2254701869059882,0.16323484119610118
DV_PHO_skewness ppq,0.3463037779955299,0.21962904578632383,0.12734348771491075,0.16237106336016016
PP_GF4_MED,0.08361127279191839,0.003153528907353273,0.4821435594193389,0.16215370461102366
PP_JIT_M_ppq5,0.4109889125575111,0.07868015987871467,0.17677791284893896,0.15490119633586258
PP_HNR,0.29364943194121784,0.209145764299443,0.1411985834935559,0.1533759025111711
PP_F2_MED,0.08322053640190154,0.05271452716993352,0.4087378698664194,0.15244410003278952
DV_PHO_std DF0,0.30522729484658323,0.06280859044151763,0.24186321756120535,0.14930657184805768
DV_GLO_global std std QOQ,0.07354884991054086,0.17207519347194863,0.3037851611643493,0.1488641166994001
PP_JIT_rap,0.3781292945816867,0.03250465397018177,0.21343688950686024,0.14778308926094086
DV_GLO_global kurtosis var GCI,0.41887502979909674,0.0763690337921612,0.14313822296677237,0.14580873129789135
PP_JIT_abs,0.28100676124882445,0.012701991081461826,0.2663185861266019,0.13927242585811092
DV_GLO_global avg std NAQ,0.029208336849252503,0.15341518098987864,0.31512954986739605,0.13873432757753895
PP_JIT_local,0.36410928245690255,0.0,0.21071755994155514,0.13603712447384705
DV_GLO_global kurtosis std QOQ,0.17165932608795587,0.05927953835408351,0.28421706238080147,0.13441686852035248
PP_GF4_SD,0.20675149231761883,0.10069784339389354,0.22127616925113386,0.1329076100873373
DV_GLO_global avg avg HRF,0.21777381754965314,0.032143558593790714,0.2406223335180983,0.1237773532138078
PP_GF2_SD,0.14128767169740794,0.20472328462379236,0.12799558662044228,0.11783703148156237
PP_SHI_M_apq3,0.06588081588933475,0.2944125437595804,0.08810271898602468,0.11321011481356946
DV_GLO_global skewness std H1H2,0.2555372119315847,0.17083125759555082,0.0,0.09381525678520464
DV_GLO_global kurtosis avg QOQ,0.06970322207194231,0.19683650001389952,0.09971448380393973,0.09306411455904526
DV_GLO_global kurtosis std H1H2,0.18177920229030403,0.16501175653413458,0.02354067418261485,0.08467098184637892
