features,slope,target,target_slope,score
DV_PHO_avg DDF0,0.419816090981027,0.40413638966538507,,
DV_PHO_avg DF0,0.33861931899881403,0.32597223401167064,,
DV_PHO_avg Jitter,0.06938569851114813,0.06679421368813993,,
DV_PHO_avg Shimmer,0.1987764426473506,0.1913523459625071,,
DV_PHO_avg apq,0.20392953472068276,0.19631297532109898,,
DV_PHO_avg logE,0.1444048756829241,0.1390115013748085,,
DV_PHO_avg ppq,0.014579106747531188,0.014034592032252043,,
DV_PHO_kurtosis DDF0,0.21398694920472577,0.2059947556679441,,
DV_PHO_kurtosis DF0,0.10698379778641928,0.10298806243719968,,
DV_PHO_kurtosis Shimmer,0.013868543709450055,0.013350567796380648,,
DV_PHO_kurtosis apq,0.1860102524984602,0.17906295994946017,,
DV_PHO_kurtosis logE,0.0,0.0,,
DV_PHO_kurtosis ppq,0.17824066698539984,0.17158356050312815,,
DV_PHO_skewness DDF0,0.27672360827486475,0.26638826473289284,,
DV_PHO_skewness DF0,0.4448195501993048,0.42820599527294434,,
DV_PHO_skewness Jitter,0.1361538889470872,0.13106868054865567,,
DV_PHO_skewness Shimmer,0.031237986452661296,0.030071279630787973,,
DV_PHO_skewness apq,0.30552285283960623,0.2941118869892187,,
DV_PHO_skewness logE,0.1213430967180493,0.1168110562505009,,
DV_PHO_skewness ppq,0.06581877603538436,0.06336051211609477,,
DV_PHO_std DF0,0.11068325129571263,0.10654934514431795,,
DV_PHO_std Jitter,0.140511594848086,0.13526363059437171,,
DV_PHO_std Shimmer,0.21183147110842415,0.20391978247240392,,
DV_PHO_std apq,0.15852758913727402,0.1526067459362602,,
DV_PHO_std logE,0.21229010061701503,0.204361282638257,,
DV_PHO_std ppq,0.10096914402076924,0.09719804983368803,,
PP_CPP_M,0.058670308386197585,0.05647903241713593,,
PP_CPP_SD_M,0.1547032595001608,0.14892525109688493,,
PP_F0,0.06549485719787257,0.06304869131563229,,
PP_F0_SD,0.23209994843384704,0.22343125291454397,,
PP_F0_SD_M,0.06761360299314423,0.06508830412399046,,
PP_F1_MEA,0.09813179337256074,0.09446667132815684,,
PP_F1_MED,0.15306816766329742,0.1473512282666092,,
PP_F1_SD,0.09612632943510435,0.09253610941616867,,
PP_F2_MEA,0.2016233515702875,0.1940929257509882,,
PP_F2_SD,0.14773387717620393,0.1422161680695531,,
PP_F3_MEA,0.0790278690636175,0.0760762590392528,,
PP_F3_MED,0.0868980842712293,0.0836525297640393,,
PP_F3_SD,0.0291553612793528,0.028066438376131996,,
PP_F4_MEA,0.049033346199212915,0.047202000904387344,,
PP_F4_MED,0.03710425757866881,0.035718451534377554,,
PP_F4_SD,0.01872620791925567,0.01802680321977784,,
PP_F5_MEA,0.21422431693454375,0.20622325795599988,,
PP_F5_SD,0.21999894865156758,0.2117822130887382,,
PP_JIT_M_abs,0.10367632566935288,0.09980412101850226,,
PP_JIT_M_local,0.11145756941000291,0.10729474326955556,,
PP_JIT_M_ppq5,0.23188313057308851,0.22322253297897143,,
PP_JIT_M_rap,0.16556794009363085,0.15938414699020864,,
PP_JIT_local,0.18428109236136536,0.17739838217368706,,
PP_SHI_M_apq11,0.3740119537071451,0.3600429900380687,,
PP_SHI_M_apq3,0.30943964493375475,0.2978823909074938,,
PP_SHI_M_apq5,0.31194220121037597,0.30029147926855415,,
PP_SHI_M_local,0.35041046525616154,0.3373229930245648,,
PP_SHI_apq11,0.2623939266489473,0.2525937820492497,,
PP_SHI_apq3,0.15048920168276497,0.1448685840258734,,
PP_SHI_apq5,0.17569047072383562,0.16912861146180286,,
PP_SHI_local,0.2069478673750351,0.1992185763400799,,
