,mic_pair,mean_cosine_distance,mean_cosine_similarity,id,exercise
0,1-2,0.2873253625683765,0.7126746374316235,67,SEN
1,1-3,0.9613621987270172,0.0386378012729829,67,SEN
2,2-3,0.9791805552861312,0.0208194447138687,67,SEN
33,1-2,0.3798136395390329,0.6201863604609671,67,SPN
34,1-3,0.7773774823238737,0.2226225176761262,67,SPN
35,2-3,1.00181698785411,-0.0018169878541097,67,SPN
66,1-2,0.2364485106910187,0.7635514893089813,67,VOW_a
67,1-3,0.1459638198041808,0.8540361801958192,67,VOW_a
68,2-3,0.2208165904385984,0.7791834095614015,67,VOW_a
99,1-2,0.104191077161163,0.895808922838837,67,VOW_e
100,1-3,0.0757235931321828,0.9242764068678172,67,VOW_e
101,2-3,0.1681228076975108,0.8318771923024891,67,VOW_e
132,1-2,0.2367126945940342,0.7632873054059658,67,VOW_i
133,1-3,0.0655781180035105,0.9344218819964896,67,VOW_i
134,2-3,0.1768913761101308,0.8231086238898692,67,VOW_i
165,1-2,0.2198644341769112,0.7801355658230887,67,VOW_o
166,1-3,0.1212735635227801,0.8787264364772198,67,VOW_o
167,2-3,0.4215556606902089,0.5784443393097911,67,VOW_o
198,1-2,0.1877801904196476,0.8122198095803523,67,VOW_u
199,1-3,0.0887418354448034,0.9112581645551966,67,VOW_u
200,2-3,0.3002049946701951,0.6997950053298049,67,VOW_u
3,1-2,0.3305151857051411,0.6694848142948588,68,SEN
4,1-3,1.1451910676167585,-0.1451910676167582,68,SEN
5,2-3,1.0709720714061857,-0.0709720714061855,68,SEN
36,1-2,0.609439443536623,0.3905605564633769,68,SPN
37,1-3,0.9043663888076912,0.0956336111923088,68,SPN
38,2-3,1.063417586711335,-0.0634175867113346,68,SPN
69,1-2,0.5900296168752119,0.409970383124788,68,VOW_a
70,1-3,0.3439609306595614,0.6560390693404385,68,VOW_a
71,2-3,0.918787163656868,0.081212836343132,68,VOW_a
102,1-2,0.6211441395059643,0.3788558604940357,68,VOW_e
103,1-3,0.9358588585495252,0.0641411414504748,68,VOW_e
104,2-3,1.3710178984385772,-0.3710178984385772,68,VOW_e
135,1-2,0.5327559934022552,0.4672440065977447,68,VOW_i
136,1-3,0.6871334301241505,0.3128665698758494,68,VOW_i
137,2-3,1.028470785983921,-0.028470785983921,68,VOW_i
168,1-2,0.2100265974388417,0.7899734025611582,68,VOW_o
169,1-3,0.8794304059139959,0.120569594086004,68,VOW_o
170,2-3,1.145908917353671,-0.1459089173536709,68,VOW_o
201,1-2,0.5740937769194907,0.4259062230805092,68,VOW_u
202,1-3,0.4810010713926876,0.5189989286073123,68,VOW_u
203,2-3,0.6095748840465574,0.3904251159534427,68,VOW_u
6,1-2,0.4614356824793221,0.5385643175206779,69,SEN
7,1-3,0.4795922740130867,0.5204077259869133,69,SEN
8,2-3,0.4751998212074935,0.5248001787925065,69,SEN
39,1-2,0.4173256505828409,0.5826743494171591,69,SPN
40,1-3,0.6390971372525482,0.3609028627474517,69,SPN
41,2-3,0.5904580380137378,0.4095419619862622,69,SPN
72,1-2,0.585928768765255,0.4140712312347449,69,VOW_a
73,1-3,0.1797476395312769,0.8202523604687231,69,VOW_a
74,2-3,0.495559248875636,0.5044407511243639,69,VOW_a
105,1-2,0.2443243189955176,0.7556756810044823,69,VOW_e
106,1-3,0.1772015518641533,0.8227984481358467,69,VOW_e
107,2-3,0.2862704471958712,0.7137295528041288,69,VOW_e
138,1-2,0.2356116202075293,0.7643883797924707,69,VOW_i
139,1-3,0.3014174418455277,0.6985825581544722,69,VOW_i
140,2-3,0.1279771777140805,0.8720228222859194,69,VOW_i
171,1-2,0.2690378109584018,0.7309621890415982,69,VOW_o
172,1-3,0.1108960655466623,0.8891039344533377,69,VOW_o
173,2-3,0.2785636654325669,0.7214363345674331,69,VOW_o
204,1-2,0.5887625227084555,0.4112374772915445,69,VOW_u
205,1-3,0.206931474163439,0.793068525836561,69,VOW_u
206,2-3,0.5092168738350518,0.4907831261649482,69,VOW_u
9,1-2,0.4288878656317735,0.5711121343682265,70,SEN
10,1-3,0.6249144419567195,0.3750855580432805,70,SEN
11,2-3,0.4990996432786184,0.5009003567213816,70,SEN
42,1-2,0.2204933648254323,0.7795066351745676,70,SPN
43,1-3,0.5479564942211381,0.4520435057788618,70,SPN
44,2-3,0.5741264928641383,0.4258735071358617,70,SPN
75,1-2,0.1973864206092036,0.8026135793907964,70,VOW_a
76,1-3,0.1563187214895181,0.8436812785104819,70,VOW_a
77,2-3,0.21135003712838,0.7886499628716199,70,VOW_a
108,1-2,0.165206495528434,0.834793504471566,70,VOW_e
109,1-3,0.1308418150088409,0.869158184991159,70,VOW_e
110,2-3,0.2489058129309278,0.7510941870690722,70,VOW_e
141,1-2,0.1007249771218522,0.8992750228781478,70,VOW_i
142,1-3,0.1650381970205712,0.8349618029794288,70,VOW_i
143,2-3,0.191671545919187,0.808328454080813,70,VOW_i
174,1-2,0.0968290538229299,0.90317094617707,70,VOW_o
175,1-3,0.4520705572154265,0.5479294427845735,70,VOW_o
176,2-3,0.4872553398415454,0.5127446601584545,70,VOW_o
207,1-2,0.6155360705322392,0.3844639294677607,70,VOW_u
208,1-3,0.4311656902677748,0.5688343097322252,70,VOW_u
209,2-3,0.5446494883446993,0.4553505116553006,70,VOW_u
12,1-2,0.8146913693745166,0.1853086306254834,71,SEN
13,1-3,0.927352558081742,0.0726474419182579,71,SEN
14,2-3,0.84849693350794,0.15150306649206,71,SEN
45,1-2,0.535292229238501,0.464707770761499,71,SPN
46,1-3,0.7500685734096306,0.2499314265903693,71,SPN
47,2-3,0.7731303542588781,0.2268696457411218,71,SPN
78,1-2,0.4670624371578805,0.5329375628421195,71,VOW_a
79,1-3,0.142156929185894,0.8578430708141059,71,VOW_a
80,2-3,0.4437380228882058,0.5562619771117941,71,VOW_a
111,1-2,0.4335106173975666,0.5664893826024334,71,VOW_e
112,1-3,0.2839305547291308,0.7160694452708691,71,VOW_e
113,2-3,0.5497933998867391,0.4502066001132608,71,VOW_e
144,1-2,0.7766390384356701,0.2233609615643299,71,VOW_i
145,1-3,0.2192080245712345,0.7807919754287654,71,VOW_i
146,2-3,1.050242231279688,-0.050242231279688,71,VOW_i
177,1-2,0.5254412610606173,0.4745587389393827,71,VOW_o
178,1-3,0.0500290416033306,0.9499709583966692,71,VOW_o
179,2-3,0.4913160322671605,0.5086839677328395,71,VOW_o
210,1-2,0.6664196680678913,0.3335803319321086,71,VOW_u
211,1-3,0.1698502143160053,0.8301497856839947,71,VOW_u
212,2-3,0.8470140735231849,0.152985926476815,71,VOW_u
15,1-2,0.5797608508829972,0.4202391491170028,72,SEN
16,1-3,0.466782537114865,0.5332174628851349,72,SEN
17,2-3,0.606852189464989,0.3931478105350109,72,SEN
48,1-2,0.3483155302308232,0.6516844697691768,72,SPN
49,1-3,0.4536758901621429,0.5463241098378571,72,SPN
50,2-3,0.5432039074240742,0.4567960925759258,72,SPN
81,1-2,0.5245792261470361,0.4754207738529639,72,VOW_a
82,1-3,0.2254617327577555,0.7745382672422445,72,VOW_a
83,2-3,0.5364609916822172,0.4635390083177828,72,VOW_a
114,1-2,0.3761592083981542,0.6238407916018458,72,VOW_e
